"Categorie";"Champ spécifique";"Nom Web Service"
"Auto: Pièces et Equipement";"Hauteur de l'unite";"hauteur"
"Auto: Pièces et Equipement";"Structure";"structure"
"Auto: Pièces et Equipement";"Formats lus";"formats_lus"
"Auto: Pièces et Equipement";"Puissance de l'ampli integre";"puissance_ampli_integre"
"Auto: Pièces et Equipement";"Largeur";"largeur"
"Auto: Pièces et Equipement";"Diametre Interieur";"diametre"
"Auto: Pièces et Equipement";"Antenne";"antenne"
"Auto: Pièces et Equipement";"Profondeur unite";"profondeur"
"Auto: Pièces et Equipement";"Type";"type_1"
"Auto: Pièces et Equipement";"Affichage";"affichage_ecran"
"Auto: Pièces et Equipement";"Etat 2";"etat"
"Auto: Pièces et Equipement";"Type (matiere premiere)";"matiere"
"Auto: Pièces et Equipement";"Taille";"taille"
"Auto: Pièces et Equipement";"K-Type";"ktype"
"Auto: Pièces et Equipement";"Couleur";"couleur"
"Auto: Pièces et Equipement";"Garantie constructeur";"garantie_constructeur"
"Auto: Pièces et Equipement";"Garantie Marchand";"garantie_marchand"
"Auto: Pièces et Equipement";"K-Type relatif";"ktype_relatif"
"Auto: Pièces et Equipement";"OEN";"oen"
"Auto: Pièces et Equipement";"Marque compatible";"marque_compatible"
"Auto: Pièces et Equipement";"Modèle compatible";"modele_compatible"
"Auto: Pièces et Equipement";"Nom du véhicule";"nom_vehicule"
"Auto: Pièces et Equipement";"Année de mise en circulation";"annee_entree"
"Auto: Pièces et Equipement";"Année de fin de mise en circulation";"annee_sortie"
"Auto: Pièces et Equipement";"Deport (ET)";"deport"
"Auto: Pièces et Equipement";"Diametre de la jante";"diametre_jante"
"Auto: Pièces et Equipement";"DOT";"dot"
"Auto: Pièces et Equipement";"Entraxe (Diametre)";"entraxe_diametre"
"Auto: Pièces et Equipement";"Entraxe (Nombre de trous)";"entraxe_trous"
"Auto: Pièces et Equipement";"Fabricant de la jante";"fabricant_jante"
"Auto: Pièces et Equipement";"Indice de charge";"indice_charge"
"Auto: Pièces et Equipement";"Indice de vitesse";"indice_vitesse"
"Auto: Pièces et Equipement";"Largeur de la jante";"largeur_jante"
"Auto: Pièces et Equipement";"Nombre de portes";"nombre_ports"
"Auto: Pièces et Equipement";"Largeur de la semelle";"largeur_semelle"
"Auto: Pièces et Equipement";"Nb. sorties preamplificateurs";"nombre_sorties"
"Auto: Pièces et Equipement";"Nombre de bobines";"nombre_bobines"
"Auto: Pièces et Equipement";"Ratio Flanc/Semelle";"ratio_flanc_semelle"
"Auto: Pièces et Equipement";"Reference Fabricant";"reference"
"Auto: Pièces et Equipement";"Taille d'installation de l'unite";"taille_installation"
"Auto: Pièces et Equipement";"Type de vehicule";"type_vehicule"
"Auto: Pièces et Equipement";"Watts RMS";"watts_rms"
"Auto: Pièces et Equipement";"Fabricant";"fabricant"
"Auto: Pièces et Equipement";"Caisson inclus";"caisson"
"Auto: Pièces et Equipement";"Caractéristiques";"caracteristiques"
"Auto: Pièces et Equipement";"Nombre de canaux";"nombre_canaux"
"Auto: Pièces et Equipement";"Marque";"marque"
"Auto: Pièces et Equipement";"Saison";"saison"
"Auto: Pièces et Equipement";"Utilisation";"domaine_utilisation"
"Auto: Pièces et Equipement";"Titre 2";"titre"
"Auto: Pièces et Equipement";"Nombre de disques par magasin";"nombre_disques"
"Auto: Pièces et Equipement";"Modele";"modele"
"Auto: Pièces et Equipement";"Puissance effective par canal";"puissance"
"Auto: Pièces et Equipement";"Taille de l'ecran";"taille_ecran"
"Auto: Pièces et Equipement";"Options";"options"
"Auto: Pièces et Equipement";"Année";"annee"
"Auto: Pièces et Equipement";"Carburant";"carburant"
