"Affichage";"Age";"Annee de Fabrication";"Cadran";"Caracteristiques";"Carat or";"Carat pierre";"Cardiofréquencemètre";"Chonomètre";"Clarte de la pierre";"Couleur";"Couleur bracelet";"Couleur cadran";"Coupe";"Description chaine";"Diametre";"Diametre tige (mm)";"Elements parure";"Etancheite";"Etat";"Etat 2";"Fonctionnalites";"Forme";"Forme cadran";"Garantie constructeur";"Garantie Marchand";"Genre";"GPS";"Grille de taille";"Hauteur";"Hauteur (unite de mesure)";"Largeur";"Largeur (unite de mesure)";"Longueur";"Longueur tige (mm)";"Longueur (unite de mesure)";"Lot";"Marque Fabricant";"Maternité";"Matiere";"Matiere boitier";"Matiere Bracelet";"Mecanisme";"Mouvement";"Nombre de gemmes";"Nombre de perles";"Nombre de pieces";"Organisme d'authentification agree";"Partie du corps";"Periode";"Pierre dominante";"Podomètre";"Poids Colis";"Poids Colis (unite de mesure)";"Profondeur maximale d'etancheite (metres)";"Public";"Qualite metal";"Reference Fabricant";"Resistance a la pression d'eau (bars)";"Sous-type";"Style";"Style (periode)";"Taille";"Type";"Type calendrier";"Type de bijoux";"Type de certificat";"Type de chaine";"Type de fermoir boucles d'oreilles";"Type de garantie";"Type et qualite metal";"Type fermoir"
"Aiguilles";"Adulte";"";"-";"24 heures";"-";"-";"Non";"";"-";"Argente";"Argent";"Argent";"-";"";"";"-";"Autre";"";"";"-";"Alarme";"-";"Carré";"";"";"";"Non";"Bébé age et stature";"";"";"";"";"";"-";"";"-";"";"";"Acajou";"Acier Bicolore";"Acier inoxydable";"-";"Automatique";"";"";"-";"";"Arcade";"-";"-";"Non";"";"'GR'";"10.0";"Enfant";"Argent - 800/1000";"";"1.0";"-";"-";"";"-";"-";"Calendrier perpétuel";"Accessoire cheveux";"";"";"";"Distributeur";"";"Boucle Ardillon"
"Analogique";"Bébé";"";"Acier";"A cartouches";"10 ct et moins";"0,25 ct et moins";"Oui";"";"FL";"Autre";"Beige";"Beige";"Autre";"";"";"1,2 mm";"Bague";"";"";"Neuf";"Boussole & GPS";"Autre";"Fantaisie";"";"";"-";"Oui";"Bébé et Enfant - Age";"";"";"";"";"";"10 mm";"";"10 a 50";"";"";"Acier";"Acier et Or - 585/1000";"Acier inoxydable Bicolore";"A diapason";"Autre";"";"";"2 pieces";"";"Autre";"Art Deco";"Agate";"Oui";"";"'KG'";"100.0";"Femme";"Argent Fin - 925/1000";"";"10.0";"0,5";"1940-1960";"";"40";"Accessoire";"Jour et Mois";"Bague";"";"";"";"Fabricant";"";"Boucle déployante double"
"Analogique - Digital";"Enfant";"";"Acier 2 tons";"Affichage 24 heures";"12 ct";"0,26-0,50 ct";"";"";"I1";"Beige";"Blanc";"Blanc";"Baguette";"";"";"1,6 mm";"Boucles d'oreille";"";"";"Occasion";"Calendrier";"Boule";"Ovale";"";"";"Bijoux fantaisie";"";"Canapé et fauteuil";"";"";"";"";"";"11 mm";"";"101 a 500";"";"";"Acrylique";"Acier et Or - 750/1000";"Aluminium";"A quartz";"Kinetic";"";"";"3 pieces";"";"Langue";"Art Nouveau";"Aigue-marine";"";"";"'LB'";"150.0";"Fille";"Or - 357/1000";"";"15.0";"0,7";"1970";"";"41";"Alliance";"Jour et date";"Boucles d'oreilles";"";"";"";"Fabricant et revendeur";"";"Boucle déployante double invisible"
"Binaire";"";"";"Acier Inoxydable";"Autre";"14 ct";"0,51-0,75 ct";"";"";"I2";"Blanc";"Bleu";"Bleu";"Brillant";"";"";"10 mm";"Bracelet";"";"";"";"Cardio Fréquence";"Cabochon";"Rectangulaire";"";"";"Fantaisie";"";"Chaussants";"";"";"";"";"";"12 mm";"";"51 a 100";"";"";"Aluminium";"Acier et Or - 999/1000";"Argent";"Autre";"Mécanique";"";"";"4 pieces et plus";"";"Levre";"Contemporain";"Alexandrite";"";"";"'OZ'";"200.0";"Garçon";"Or - 585/1000";"";"20.0";"2 rangs";"1980";"";"42";"Anneau";"Jour, Date et Mois";"Bracelet";"";"";"";"Revendeur";"";"Boucle déployante simple"
"Chronographe";"";"";"Acier et Or 375/1000";"Avec ecrin";"16 ct";"0,76-1 ct";"";"";"IF";"Bleu";"Bordeaux";"Doré";"Briolette";"";"";"11 mm";"Broche";"";"";"";"Chronographe";"Carre";"Rond";"";"";"Joaillerie";"";"Collant";"";"";"";"";"";"13 mm";"";"Lot";"";"";"Ambre";"Acier et Or 375/1000";"Autre";"Comtoise";"Pile";"";"";"De 1 a 5";"";"Nez";"Design du XXeme";"Ambre";"";"";"";"30.0";"Homme";"Or - 750/1000";"";"25.0";"3 rangs";"1990";"";"43";"Anneau de jonction";"Jour, Date, Mois et Année";"Broche";"";"";"";"";"";"Boucle déployante simple invisible"
"Digital";"";"";"Acier/Or jaune";"Avec housse";"18 ct";"0,76-1ct";"";"";"SI1";"Bordeaux";"Doré";"Gris";"Brut (non taille)";"";"";"12 mm";"Collier";"";"";"";"Chronomètre";"Carree";"";"";"";"";"";"Divers en tour";"";"";"";"";"";"14 mm";"";"Moins de 10";"";"";"Argent";"Acier inoxydable";"Bois";"Electrique";"Quartz";"";"";"De 11a 20";"";"Nombril";"XIXeme et avant";"Amethyste";"";"";"";"50.0";"Mixte";"Or - 999/1000";"";"3.0";"4 couleurs";"Autre";"";"44";"Anneau simple";"Jour, Date, Phases de Lune";"Collier";"";"";"";"";"";"Boucle déployante à double sécurité"
"Pédagogique";"";"";"Acier/Or rose";"Calendrier";"20 ct";"0.,51-0,75 ct";"";"";"SI2";"Bronze";"Gris";"Jaune";"Cabochon";"";"";"13 mm";"Pendentif";"";"";"";"Compte-tours";"Chaine";"";"";"";"";"";"EU";"";"";"";"";"";"16 mm";"";"Plus de 500";"";"";"Argent plaque";"Acier inoxydable plaqué Or";"Caoutchouc";"Mecanique, a poids";"Remontage manuel";"";"";"De 21 a 50";"";"Oreille";"";"Ametrine";"";"";"";"";"";"Platine - 850/1000";"";"30.0";"A aiguilles";"Celebrite";"";"45";"Anneaux";"";"Piercing";"";"";"";"";"";"Boucle déployante à fermeture Ardillon"
"Sport";"";"";"Aluminium";"Lunette bi-directionnelle";"22 ct";"1,01-1,25 ct";"";"";"VS1";"Dore";"Jaune";"Marron";"Coeur";"";"";"14 mm";"";"";"";"";"Date";"Chat";"";"";"";"";"";"Enfant - Age";"";"";"";"";"";"18 mm";"";"";"";"";"Autre";"Acier inoxydable plaqué Titane";"Cuir";"Radio pilotee";"Solaire";"";"";"De 51 a 100";"";"Teton";"";"Autre";"";"";"";"";"";"Platine - 900/1000";"";"5.0";"A crochets";"Classique";"";"46";"Autre";"";"";"";"";"";"";"";"Boucle déployante à sécurité"
"";"";"";"Argent";"Lunette uni-directionnelle";"24 ct";"1,26-1,50 ct";"";"";"VS2";"Gris";"Marron";"Multicolore";"Coussin";"";"";"15 mm";"";"";"";"";"Date et Mois";"Cone";"";"";"";"";"";"Enfant année";"";"";"";"";"";"20 mm";"";"";"";"";"Bakelite";"Aluminium";"Cuir crocodile";"";"";"";"";"De 6 a 10";"";"";"";"Aventurine";"";"";"";"";"";"Platine - 950/1000";"";"";"A tamis";"De gare";"";"47";"Bague";"";"";"";"";"";"";"";"Bracelet"
"";"";"";"Argent Fin";"Mouvement apparent";"Autre";"1,51-1,75 ct";"";"";"WS1";"Jaune";"Multicolore";"Nacre";"Damier";"";"";"16 mm";"";"";"";"";"Energie Solaire";"Dauphin";"";"";"";"";"";"Enfant mois";"";"";"";"";"";"6 mm";"";"";"";"";"Bioplast";"Argent - 800/1000";"Céramique";"";"";"";"";"Plus de 100";"";"";"";"Beryl";"";"";"";"";"";"Platine - 999/1000";"";"";"Affichage digital";"Design";"";"48";"Bague sertie";"";"";"";"";"";"";"";"Bracelet lanière à fermeture invisible"
