"Categorie";"Champ spécifique";"Nom Web Service"
"Bateaux, Voile, Nautisme";"Nombre de canaux";"nombre_canaux"
"Bateaux, Voile, Nautisme";"Hauteur de l'unite";"hauteur"
"Bateaux, Voile, Nautisme";"Antenne";"antenne"
"Bateaux, Voile, Nautisme";"Profondeur unite";"profondeur"
"Bateaux, Voile, Nautisme";"Largeur";"largeur"
"Bateaux, Voile, Nautisme";"Style";"style"
"Bateaux, Voile, Nautisme";"Couleur";"couleur"
"Bateaux, Voile, Nautisme";"Longueur";"longueur"
"Bateaux, Voile, Nautisme";"Marque";"marque"
"Bateaux, Voile, Nautisme";"Pointure";"pointure"
"Bateaux, Voile, Nautisme";"Utilisation";"domaine_utilisation"
"Bateaux, Voile, Nautisme";"Titre 2";"titre"
"Bateaux, Voile, Nautisme";"Annee";"annee"
"Bateaux, Voile, Nautisme";"Editeur";"editeur"
"Bateaux, Voile, Nautisme";"Langue";"langue"
"Bateaux, Voile, Nautisme";"Modele";"modele"
"Bateaux, Voile, Nautisme";"Systeme d'exploitation";"systeme_exploitation"
"Bateaux, Voile, Nautisme";"Sous-type";"sous_type"
"Bateaux, Voile, Nautisme";"Constructeur";"constructeur"
"Bateaux, Voile, Nautisme";"Taille de l'ecran";"taille_ecran"
"Bateaux, Voile, Nautisme";"Options";"options"
"Bateaux, Voile, Nautisme";"Support";"support_compatible"
"Bateaux, Voile, Nautisme";"Nombre de licences";"nombre_licences"
"Bateaux, Voile, Nautisme";"Type";"type_1"
"Bateaux, Voile, Nautisme";"Carburant";"carburant"
"Bateaux, Voile, Nautisme";"Categorie de Navigation";"categorie_navigation"
"Bateaux, Voile, Nautisme";"Coque";"coque"
"Bateaux, Voile, Nautisme";"Capacite du depot";"capacite_depot"
"Bateaux, Voile, Nautisme";"Type de depot";"type_depot"
"Bateaux, Voile, Nautisme";"Fabricant du moteur";"fabricant_moteur"
"Bateaux, Voile, Nautisme";"Greement";"greement"
"Bateaux, Voile, Nautisme";"Modele du moteur";"modele_moteur"
"Bateaux, Voile, Nautisme";"Nombre de couchages";"nombre_couchages"
"Bateaux, Voile, Nautisme";"Quille";"quille"
"Bateaux, Voile, Nautisme";"Remorque incluse";"remorque"
"Bateaux, Voile, Nautisme";"Type de moteur";"type_moteur"
"Bateaux, Voile, Nautisme";"Garantie constructeur";"garantie_constructeur"
"Bateaux, Voile, Nautisme";"Garantie Marchand";"garantie_marchand"
"Bateaux, Voile, Nautisme";"Genre";"genre"
"Bateaux, Voile, Nautisme";"Affichage";"affichage_ecran"
"Bateaux, Voile, Nautisme";"Etat 2";"etat"
"Bateaux, Voile, Nautisme";"Matiere";"matiere"
"Bateaux, Voile, Nautisme";"Taille";"taille"
