"Alimentation";"Amperage (A)";"Aspect";"Caracteristique";"Collage";"Conditionnement";"Contenance (L)";"Couleur";"Etat 2";"Famille de produit";"Garantie constructeur";"Garantie Marchand";"Genre";"Largeur (cm)";"Longueur (cm)";"Longueur rouleau (m)";"Marque";"Matiere";"Metier";"Nombre de pieces";"Outil professionnel";"Puissance (W)";"Sous-type";"Surface (m2)";"Taille";"Tension (V)";"Type";"Utilisation"
"-";"-";"-";"-";"-";"-";"-";"-";"-";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"Outil Professionnel";"-";"-";"-";"-";"-";"-";"Baignoire"
"Essence";"10";"Brillant";"Autre";"Auto-adhesif";"Jeu";"10 et plus";"Argente";"Neuf";"";"";"";"Femme";"De 10 a 14 cm";"De 10 a 14 cm";"10 m";"ABB";"Acajou";"Agriculture, Foret";"1";"Outil professionnel";"1000W";"2 prises";"De 16 a 30";"35";"110";"Accessoire";"Cuisine"
"Sans fil, Batterie";"100";"Mat";"Contemporain";"Autre";"Unite";"De 1 a 1,9";"Autre";"Occasion";"";"";"";"Homme";"De 100 a 109 cm";"De 100 a 109 cm";"25 m";"AEG";"Acier";"Autre";"10";"";"100W";"3 prises";"De 31 a 50";"35,5";"115";"Acier";"Douche"
"Secteur";"1000";"Satin";"De 100 a 149L";"Colle sur mur";"";"De 2 a 3,9";"Beige";"";"";"";"";"Unisexe";"De 110 a 120 cm";"De 110 a 120 cm";"5 m";"AL-KO";"Acrylique";"Chantier";"2";"";"200W";"4 prises";"De 5 a 15";"36";"12";"Adaptateur de prise";"Lavabo"
"";"110";"";"De 150 a 199L";"Colle sur papier";"";"De 4 a 5,9";"Blanc";"";"";"";"";"";"De 15 a 19 cm";"De 15 a 19 cm";"Autre";"Agilent";"Agglomere";"Gardiennage, Securite";"3";"";"250W";"5 prises";"Moins de 5";"36,5";"120";"Adoucisseur, Filtre a eau";""
"";"120";"";"De 200 a 250L";"";"";"De 6 a 7,9";"Bleu";"";"";"";"";"";"De 20 a 24 cm";"De 20 a 24 cm";"";"Al-Ko";"Aluminium";"Mecanique";"4";"";"300W";"6 prises";"Plus de 50";"37";"125";"Agglomere";""
"";"125";"";"De 50 a 99L";"";"";"De 8 a 9,9";"Bordeaux";"";"";"";"";"";"De 25 a 29 cm";"De 25 a 29 cm";"";"Allen Bradley";"Ardoise";"Medecine";"5";"";"350W";"7 prises";"";"37,5";"127";"Agrafeuse";""
"";"15";"";"Moderne";"";"";"Moins de 1";"Bronze";"";"";"";"";"";"De 30 a 34 cm";"De 30 a 34 cm";"";"Allen-Bradley";"Argent";"Restauration, Boulangerie";"6";"";"400W";"8 prises";"";"38";"208";"Agrafeuse electrique";""
"";"150";"";"Moins de 50L";"";"";"";"Dore";"";"";"";"";"";"De 35 a 39 cm";"De 35 a 39 cm";"";"Arnould";"Autre";"Service";"7";"";"450W";"A pousser";"";"38,5";"220";"Aluminium";""
"";"175";"";"Plus de 250L";"";"";"";"Gris";"";"";"";"";"";"De 40 a 44 cm";"De 40 a 44 cm";"";"Autre";"Bambou";"";"8";"";"500W";"Abattant classique";"";"39";"230";"Amenagement de cuisine";""
"";"180";"";"Retro";"";"";"";"Gris, Chrome";"";"";"";"";"";"De 45 a 49 cm";"De 45 a 49 cm";"";"Bahco";"Basalt";"";"9";"";"550W";"Abattant fantaisie";"";"39,5";"24";"Amenagement de placard";""
"";"2";"";"";"";"";"";"Jaune";"";"";"";"";"";"De 5 a 9 cm";"De 5 a 9 cm";"";"Berner";"Basalte";"";"De 10 a 29";"";"600W";"Accessoire";"";"40";"240";"Ardoise";""
"";"20";"";"";"";"";"";"Laiton";"";"";"";"";"";"De 50 a 59 cm";"De 50 a 59 cm";"";"Bestgreen";"Beton";"";"De 100 a 200";"";"700W";"Accessoire a fixer";"";"40,5";"250";"Aspirateur";""
"";"200";"";"";"";"";"";"Marron";"";"";"";"";"";"De 60 a 69 cm";"De 60 a 69 cm";"";"Black &amp; Decker";"Bois";"";"De 30 a 49";"";"800W";"Accessoire a poser";"";"41";"277";"Attache cable";""
"";"225";"";"";"";"";"";"Multicolore";"";"";"";"";"";"De 70 a 79 cm";"De 70 a 79 cm";"";"Bosch";"Bouleau";"";"De 50 a 69";"";"900W";"Afficheur";"";"41,5";"36";"Automate";""
"";"25";"";"";"";"";"";"Noir";"";"";"";"";"";"De 80 a 89 cm";"De 80 a 89 cm";"";"Bost";"Brique";"";"De 70 a 99";"";"De 1 a 1,9 kVA";"Aimant";"";"42";"380";"Autre";""
"";"250";"";"";"";"";"";"Or";"";"";"";"";"";"De 90 a 99 cm";"De 90 a 99 cm";"";"Boudech";"Bronze";"";"Plus de 10";"";"De 10 a 14 kVA";"Amperemetre";"";"42,5";"400";"Baignoire";""
"";"275";"";"";"";"";"";"Orange";"";"";"";"";"";"Moins de 5 cm";"Moins de 5 cm";"";"Briggs &amp; Stratton";"Calcaire";"";"Plus de 200";"";"De 10 a 19 VA";"Anti-derapant";"";"43";"415";"Balance electronique";""
"";"3";"";"";"";"";"";"Rose";"";"";"";"";"";"Plus de 120 cm";"Plus de 120 cm";"";"Bryant";"Caoutchouc";"";"Plus de 5";"";"De 100 a 149 VA";"Antirouille";"";"43,5";"42";"Bambou";""
"";"30";"";"";"";"";"";"Rouge";"";"";"";"";"";"";"";"";"Caterpillar";"Ceramique";"";"";"";"De 15 a 19 kVA";"Appret, Sous-couche";"";"44";"440";"Barillet, Cylindre";""
"";"300";"";"";"";"";"";"Terre";"";"";"";"";"";"";"";"";"Challenger";"Ceramique, Porcelaine";"";"";"";"De 150 a 199 VA";"Ardoise";"";"44,5";"48";"Basalt";""
"";"35";"";"";"";"";"";"Transparent";"";"";"";"";"";"";"";"";"Chauvin Arnoux";"Chene";"";"";"";"De 2 a 4,9 kVA";"Armoire de toilette";"";"45";"480";"Bauge";""
"";"350";"";"";"";"";"";"Turquoise";"";"";"";"";"";"";"";"";"Clarke";"Chrome";"";"";"";"De 20 a 29 kVA";"Aspirateur-broyeur-souffleur";"";"45,5";"500";"Beton";""
