"Categorie";"Champ spécifique";"Nom Web Service"
"Bricolage et Outils";"Genre";"genre"
"Bricolage et Outils";"Etat 2";"etat"
"Bricolage et Outils";"Utilisation";"domaine_utilisation"
"Bricolage et Outils";"Metier";"metier"
"Bricolage et Outils";"Conditionnement";"conditionnement"
"Bricolage et Outils";"Famille de produit";"famille_produit"
"Bricolage et Outils";"Outil professionnel";"outil_professionnel"
"Bricolage et Outils";"Amperage (A)";"amperage"
"Bricolage et Outils";"Aspect";"aspect"
"Bricolage et Outils";"Puissance (W)";"puissance"
"Bricolage et Outils";"Alimentation";"alimentation"
"Bricolage et Outils";"Collage";"collage"
"Bricolage et Outils";"Longueur rouleau (m)";"longueur_rouleau"
"Bricolage et Outils";"Largeur (cm)";"largeur"
"Bricolage et Outils";"Contenance (L)";"contenance"
"Bricolage et Outils";"Matiere";"matiere"
"Bricolage et Outils";"Taille";"taille"
"Bricolage et Outils";"Couleur";"couleur"
"Bricolage et Outils";"Longueur (cm)";"longueur"
"Bricolage et Outils";"Marque";"marque"
"Bricolage et Outils";"Sous-type";"sous_type"
"Bricolage et Outils";"Nombre de pieces";"nombre_pieces"
"Bricolage et Outils";"Caracteristique";"caracteristiques"
"Bricolage et Outils";"Garantie constructeur";"garantie_constructeur"
"Bricolage et Outils";"Garantie Marchand";"garantie_marchand"
"Bricolage et Outils";"Surface (m2)";"surface"
"Bricolage et Outils";"Tension (V)";"tension"
"Bricolage et Outils";"Type";"type_1"
