"Categorie";"Champ spécifique";"Nom Web Service"
"Bébé, Puériculture";"Fonction chauffe biberon";"fonction4"
"Bébé, Puériculture";"Fixe";"fixe"
"Bébé, Puériculture";"Fonction cuiseur vapeur";"fonction3"
"Bébé, Puériculture";"Plancher ajustable";"fonction9"
"Bébé, Puériculture";"Fixation";"fixation"
"Bébé, Puériculture";"Avec roulettes";"fonction10"
"Bébé, Puériculture";"Inclinable";"fonction7"
"Bébé, Puériculture";"Fonction stérilisateur";"fonction5"
"Bébé, Puériculture";"Avec matelas";"fonction11"
"Bébé, Puériculture";"Fonction mixeur";"fonction2"
"Bébé, Puériculture";"Nomade";"fonction8"
"Bébé, Puériculture";"Motorisé";"motorisation"
"Bébé, Puériculture";"Multicanaux";"nombre_canaux"
"Bébé, Puériculture";"Grille de taille";"grille_taille"
"Bébé, Puériculture";"Garantie constructeur";"garantie_constructeur"
"Bébé, Puériculture";"Garantie Marchand";"garantie_marchand"
"Bébé, Puériculture";"Poids (en gramme)";"sous_type"
"Bébé, Puériculture";"Format";"format"
"Bébé, Puériculture";"Type";"type_1"
"Bébé, Puériculture";"Sous-type";"sous_type"
"Bébé, Puériculture";"Accessoires";"accessoires"
"Bébé, Puériculture";"Matiere";"matiere"
"Bébé, Puériculture";"Lavable";"lavable"
"Bébé, Puériculture";"Compatible";"compatibilite"
"Bébé, Puériculture";"Style";"style"
"Bébé, Puériculture";"Etat";"etat"
"Bébé, Puériculture";"Sexe";"sexe"
"Bébé, Puériculture";"Couleur";"couleur"
"Bébé, Puériculture";"Taille";"taille"
"Bébé, Puériculture";"Marque";"marque"
"Bébé, Puériculture";"Fonction parc";"fonction12"
"Bébé, Puériculture";"Evolutive";"evolutif"
"Bébé, Puériculture";"Adaptateur voiture";"fonction6"
"Bébé, Puériculture";"Nombre de roues";"nombre_roues"
"Bébé, Puériculture";"Niveau de sécurité";"niveau_securite"
"Bébé, Puériculture";"Fonction vidéo";"fonction"
"Bébé, Puériculture";"Forme";"forme"
"Bébé, Puériculture";"Portée";"portee"
