"Année";"Code couleur";"Code matière";"Composition matière";"Couleur";"Domaine d'utilisation";"Entretien";"Etat 2";"Fermeture";"Garantie constructeur";"Garantie Marchand";"Grille de taille";"Hauteur des chaussures";"Hauteur des talons";"Marque Fabricant";"Matiere";"Matière de la semelle";"Matière de la tige";"Matière externe";"Matière interne";"Morphologie du pied";"Pointure";"Public";"Saison";"Sexe";"Sous-type";"Style";"Type";"Type de bout";"Type de sport";"Type de talon";"Usage"
"";"Multicolor";"";"";"-";"Détente";"";"-";"-";"";"";"Bébé age et stature";"Chaussures basses";"-";"";"-";"Bois";"";"";"";"Grande pointure";"-";"Bébé fille";"Automne";"Femme";"Autre";"-";"-";"Bout carré";"Alpinisme";"Talon aiguille";"Pratique sportive"
"";"Multicolore";"";"";"Argente";"Pluie";"";"Neuf";"A bride";"";"";"Bébé et Enfant - Age";"Chaussures hautes";"Autre";"";"Autre";"Corde";"";"";"";"Mollet fin";"14 et moins";"Bébé garçon";"Eté";"Homme";"Ballerines";"A clous";"Autre";"Bout ouvert";"Athlétisme";"Talon compensé";"Sportswear"
"";"";"";"";"Autre";"Soirée";"";"Occasion";"A enfiler";"";"";"Canapé et fauteuil";"";"Compensé";"";"Caoutchouc";"Cuir";"";"";"";"Mollet large";"15";"Femme";"Hiver";"Unisexe";"Baskets";"A franges";"Babies";"Bout pointu";"Base Ball";"Talon fin";""
"";"";"";"";"Beige";"Sport";"";"";"A lacets";"";"";"Chaussants";"";"Hauts  (> 7 cm)";"";"Cuir";"Elastomère";"";"";"";"Mollet standard";"16";"Fille";"Printemps";"";"Baskets basses";"Ajouré";"Ballerines";"Bout rond";"Basket Ball";"Talon large";""
"";"";"";"";"Blanc";"Sécurité";"";"";"A scratch";"";"";"Collant";"";"Moyens (2 a 7 cm)";"";"Cuir verni";"";"";"";"";"Petite pointure";"17";"Garçon";"Toutes saisons";"";"Baskets hautes";"Autre";"Baskets";"";"Beachvolley";"Talon plat";""
"";"";"";"";"Bleu";"Travaux";"";"";"A zip";"";"";"Divers en tour";"";"Petits  (< 2 cm)";"";"Daim";"";"";"";"";"Pied large";"18";"Homme";"";"";"Boots";"Bijoux";"Baskets basses";"";"Bobsleigh";"";""
"";"";"";"";"Bleu clair";"Ville";"";"";"A élastique";"";"";"EU";"";"Plat";"";"Nubuck";"";"";"";"";"Pied sensible";"19";"Mixte Adulte";"";"";"Bottes";"Bottes sport";"Baskets hautes";"";"Bodyboard";"";""
"";"";"";"";"Bleu fonce";"";"";"";"Autre";"";"";"Enfant - Age";"";"Talons plats";"";"Plastique";"";"";"";"";"Pied standard";"20";"Mixte Bébé";"";"";"Bottes camarguaises";"Brossé";"Boots";"";"Bowling";"";""
"";"";"";"";"Bleu moyen";"";"";"";"Boucles";"";"";"Enfant année";"";"";"";"Soie";"";"";"";"";"";"21";"Mixte Enfant";"";"";"Bottes cavalières";"Brossé";"Bottes";"";"Boxe Thailandaise";"";""
"";"";"";"";"Bordeaux";"";"";"";"Elastiques";"";"";"Enfant mois";"";"";"";"Synthetique";"";"";"";"";"";"22";"";"";"";"Bottes de neige";"Chaussures de loisirs";"Bottes/Bottines";"";"Boxe américaine";"";""
