"Categorie";"Champ spécifique";"Nom Web Service"
"Chaussures";"Pointure";"pointure"
"Chaussures";"Usage";"usage"
"Chaussures";"Couleur";"couleur"
"Chaussures";"Public";"public"
"Chaussures";"Saison";"saison"
"Chaussures";"Marque Fabricant";"marque"
"Chaussures";"Etat 2";"etat"
"Chaussures";"Type de sport";"type_sport"
"Chaussures";"Année";"annee"
"Chaussures";"Hauteur des talons";"hauteur_talons"
"Chaussures";"Domaine d'utilisation";"domaine_utilisation"
"Chaussures";"Garantie constructeur";"garantie_constructeur"
"Chaussures";"Grille de taille";"grille_taille"
"Chaussures";"Garantie Marchand";"garantie_marchand"
"Chaussures";"Composition matière";"matiere_composition"
"Chaussures";"Entretien";"entretien"
"Chaussures";"Matière externe";"matiere_externe"
"Chaussures";"Matière interne";"matiere_interne"
"Chaussures";"Matière de la semelle";"matiere_semelle"
"Chaussures";"Code couleur";"couleur_code"
"Chaussures";"Sexe";"sexe_cible"
"Chaussures";"Sous-type";"sous_type"
"Chaussures";"Type chaussure";"type4"
"Chaussures";"Fermeture";"fermeture"
"Chaussures";"Type de talon";"type3"
"Chaussures";"Morphologie du pied";"morphologie"
"Chaussures";"Hauteur des chaussures";"fonction2"
"Chaussures";"Type de bout";"type2"
"Chaussures";"Style";"style"
"Chaussures";"Matiere";"matiere"
"Chaussures";"Matière de la tige";"matiere_cadran"
"Chaussures";"Code matière";"matiere_code"
"Chaussures";"Type";"type_1"
