"Capacite (Litres)";"Caracteristiques";"Couleur";"Dimensions (cm)";"Etat 2";"Forme";"Garantie constructeur";"Garantie Marchand";"Lavable au lave-vaisselle";"Marque";"Matiere";"Nombre de pieces";"Piles incluses";"Puissance (W)";"Sous-type";"Type";"Usage"
"-";"Anti-adhesion";"-";"-";"-";"-";"";"";"Lavable au lave-vaisselle";"-";"-";"-";"Non";"";"-";"-";"-"
"De 1 a 1,5 L";"Avec couvercle";"Argente";"25 - 30";"Neuf";"Autre";"";"";"";"Amadeus";"Acier";"1";"Oui";"";"25 cl";"Assiette carree";"Autre"
"De 1 a 2";"Colore";"Autre";"De 10 a 15";"Occasion";"Carree";"";"";"";"Arcopal";"Aluminium";"10";"";"";"50 cl";"Assiette ronde";"Bar"
"De 1,6 a 2 L";"Compartiments";"Beige";"De 16 a 20";"";"Ovale";"";"";"";"Arcoroc";"Argent";"12";"";"";"A cake";"Autre";"Conserver, Congeler"
"De 100 a 299 ml";"Congelateur";"Blanc";"De 21 a 25";"";"Rectangulaire";"";"";"";"Asiatides";"Autre";"16";"";"";"A charlotte";"Bac a glacons";"Couper, Mouliner"
"De 2,1 a 3";"Couvercle a languette";"Bleu";"De 25 a 30";"";"Ronde";"";"";"";"Aubecq";"Bambou";"2";"";"";"A compartiments";"Baguettes";"Essorer, Laver"
"De 3,1 a 4";"Cuisson a induction";"Bordeaux";"De 40 a 50";"";"";"";"";"";"Autre";"Bois";"24";"";"";"A crepe";"Batterie de cuisine, Lots";"Melanger"
"De 300 a 499 ml";"Fond amovible";"Bronze";"De 51 a 60";"";"";"";"";"";"Barenthal";"Bronze";"3";"";"";"A dessert";"Beurrier";"Mesurer, Doser"
"De 4,1 a 5";"Fond thermo-diffuseur";"Dore";"Moins de 10";"";"";"";"";"";"Baumalu";"Caoutchouc";"30";"";"";"A gateau";"Bocal";"Ouvrir"
"De 5,1 a 10";"Graduation";"Gris";"Moins de 40";"";"";"";"";"";"Beka";"Ceramique";"4";"";"";"A partir de 25 pieces";"Boite";"Patisserie"
"De 500 a 699 ml";"Grave";"Jaune";"Plus de 30";"";"";"";"";"";"Bekaline";"Corne";"48";"";"";"A tarte";"Boite a cafe";"Raper, Eplucher, Presser"
"De 700 a 999 ml";"Indicateur de temperatures";"Marron";"Plus de 60";"";"";"";"";"";"Berghaus";"Coton";"5";"";"";"Autre";"Boite a compartiments";""
"Moins de 1";"Lavable au lave-vaisselle";"Multicolore";"";"";"";"";"";"";"Beriva";"Cristal";"50";"";"";"Avec sous-tasse";"Boite a dejeuner, Malette";""
"Moins de 100 ml";"Lave-vaiselle";"Noir";"";"";"";"";"";"";"Berkendorf";"Cuivre";"6";"";"";"Ballon";"Boite a epices";""
"Plus de 10";"Manche amovible";"Orange";"";"";"";"";"";"";"Bestron";"Email";"7";"";"";"Carre";"Boite a fromage";""
