"Categorie";"Champ spécifique";"Nom Web Service"
"Collections : Couteaux de poche";"Etat 2";"etat"
"Collections : Couteaux de poche";"Matiere poignee";"matiere"
"Collections : Couteaux de poche";"Longueur de lame (cm)";"longueur_lame"
"Collections : Couteaux de poche";"Type";"type_1"
"Collections : Couteaux de poche";"Couleur";"couleur"
"Collections : Couteaux de poche";"Marque";"marque"
"Collections : Couteaux de poche";"Caracteristiques";"caracteristiques"
"Collections : Couteaux de poche";"Periode";"periode"
"Collections : Couteaux de poche";"Garantie constructeur";"garantie_constructeur"
"Collections : Couteaux de poche";"Garantie Marchand";"garantie_marchand"
