"Acteurs";"Annee de sortie";"Classification";"Code UPC ";"Date de parution";"Editeur";"Edition";"Etat 2";"Format";"Garantie constructeur";"Garantie Marchand";"Genre";"Image";"Origine";"Packaging";"Realisateur ";"Sous-genre";"Systeme ";"Titre 2";"Zone"
"";"-";"";"";"";"";"-";"-";"-";"";"";"-";"-";"-";"Emballe";"";"-";"-";"";"-"
"";"Annees 1930 et avant";"";"";"";"";"Coffret";"Neuf";"Blu-ray";"";"";"Action, Aventure";"16:9";"Autre";"";"";"Action";"NTSC";"";"Zone 1 : US, CA"
"";"Annees 1940";"";"";"";"";"Collector";"Occasion";"DVD";"";"";"Autre";"4:3";"Cinema africain";"";"";"Ados";"PAL";"";"Zone 2 : Europe"
"";"Annees 1950";"";"";"";"";"Lot";"";"HD-DVD";"";"";"Comedie";"";"Cinema allemand";"";"";"Aerobic";"SECAM";"";"Zone 3 : Asie"
"";"Annees 1960";"";"";"";"";"Simple";"";"NTSC";"";"";"Dessin anime";"";"Cinema americain";"";"";"Arts";"";"";"Zone 4 : AU, NZ"
"";"Annees 1970";"";"";"";"";"";"";"PAL";"";"";"Documentaire";"";"Cinema asiatique";"";"";"Arts martiaux";"";"";"Zone 5 : Russie"
"";"Annees 1980";"";"";"";"";"";"";"VHS";"";"";"Drame";"";"Cinema britannique";"";"";"Autre";"";"";"Zone 6 : Chine"
"";"Annees 1990";"";"";"";"";"";"";"";"";"";"Fantastique";"";"Cinema espagnol";"";"";"Aventure";"";"";""
"";"Annees 2000 et apres";"";"";"";"";"";"";"";"";"";"Gay, Lesbien";"";"Cinema francais";"";"";"Basketball";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Horreur";"";"Cinema indien";"";"";"Biographie";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Manga";"";"Cinema italien";"";"";"Boxe";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Musique";"";"Cinema scandinave";"";"";"Clips";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Policier, Thriller";"";"";"";"";"Comedie";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Science-fiction";"";"";"";"";"Comedie musicale";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Series TV";"";"";"";"";"Concerts";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Sport";"";"";"";"";"Cyclisme";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Danse";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Desastre";"";"";""
