"Categorie";"Champ spécifique";"Nom Web Service"
"DVD";"Format";"format_1"
"DVD";"Genre";"genre"
"DVD";"Etat 2";"etat"
"DVD";"Sous-genre";"sous_genre"
"DVD";"Titre 2";"titre"
"DVD";"Date de parution";"date_parution"
"DVD";"Code UPC ";"code_upc"
"DVD";"Annee de sortie";"annee"
"DVD";"Realisateur ";"realisateur"
"DVD";"Acteurs";"acteurs"
"DVD";"Origine";"origine"
"DVD";"Zone";"zone"
"DVD";"Edition";"edition"
"DVD";"Image";"image"
"DVD";"Systeme ";"systeme"
"DVD";"Packaging";"packaging"
