"Accessoires fournis";"Anti-adhésif";"Arrêt automatique";"Aspiration d'eau et poussière";"Aspirette détachable";"Autonomie";"Autonomie limitée";"Boutonnière automatique";"Brosse spéciale parquet";"Capacite";"Capacite de congelation (/24h)";"Caracteristiques";"Classe energetique";"Combo lave linge / sèche linge";"Combustible";"Compatibilité";"Compatible induction";"Consommation";"Couleur";"Coupe";"Cuisson du four";"Cuisson rapide";"Débit d'air";"Défroissage vertical";"Dégivrage automatique";"Dépression";"Dimensions";"Distributeur boisson";"Double four";"Eclairage intégré";"Electrique";"Encastrable";"Energie four";"Energie plaques";"Etat 2";"Fonction aspirateur";"Fonction baguette";"Fonction brosse";"Fonction laveur";"Fonction pressing";"Fonctions";"Fonction traineau";"Fonction turbo brosse";"Fonction vapeur";"Format piano";"Forme";"Foyer modulable";"Gain de place";"Garantie constructeur";"Garantie Marchand";"Installation";"Largeur";"Manche amovible";"Marque";"Materiau";"Minuteur";"Mode cuisson";"Nettoyage du four";"Niveau sonore";"Nombre de couverts";"Nombre de foyers";"Nombre de plaques";"Nombre de points";"Nombre de tasses";"Nombre d'etoiles";"Nombre de vitesses";"Options";"Ouverture facile";"Poids";"Poignée rabatable";"Pompe à chaleur";"Porte en verre";"Porte froide";"Position du congelateur";"Préparation sans gluten";"Pression";"Programmation électronique";"Puissance (Watts)";"Revêtement céramique";"Sans fil";"Sechage";"Semelle";"Silencieux (- de 56 dB)";"Sous-type";"Style";"Surface de chauffe";"Temps de préparation";"Titre 2";"Touches sensitives";"Type";"Type de chargement";"Type de dosettes";"Type de filtre";"Type de pose";"Utilisation cuisson";"Variateur de vitesse";"Vitesse d'essorage";"Volume total (Litres)";"Zone d' extraction"
"Affuteur de lame";"Non";"Non";"Non";"Non";"12 hrs";"";"Non";"Non";"0,68 L";"-";"Arret automatique";"A";"";"Bois";"";"Non";"10 L";"-";"";"Autre";"Non";"10,3 dm3/s";"Non";"Non";"16 kpa";"40 cm";"Non";"Non";"Non";"Non";"Non";"-";"-";"-";"Non";"Non";"";"";"Non";"Autre";"Non";"Non";"Non";"Non";"";"Non";"Non";"";"";"";"107 cm";"Non";"-";"-";"Non";"Air brassé";"-";"39 dB";"-";"1 foyer";"-";"-";"-";"-";"-";"1 moteur";"Non";"6 kg et plus";"Non";"Non";"Non";"Non";"A droite";"Non";"1,5 bars";"Non";"-";"Non";"";"Non";"-";"Non";"A plat";"Autre";"400 m3 et plus";"0,5 mn";"-";"Non";"-";"Frontal";"-";"-";"Autre";"Autre";"Non";"1000 tours/min";"-";"-"
"Autre";"Oui";"Oui";"Oui";"Oui";"17 hrs";"";"Oui";"Oui";"0,7 L";"Jusqu' a  25kg";"Autonettoyant";"A+";"";"Granulets";"";"Oui";"10,4 L";"Argente";"";"Chaleur tournante";"Oui";"100 g/mn";"Oui";"Oui";"19 kpa";"45 cm";"Oui";"Oui";"Oui";"Oui";"Oui";"Bois, Charbon";"Autre";"Neuf";"Oui";"Oui";"";"";"Oui";"Blender";"Oui";"Oui";"Oui";"Oui";"";"Oui";"Oui";"";"";"";"50 cm";"Oui";"AEG";"Acier";"Oui";"Bois";"Autre";"40 dB";"10";"2 foyers";"1";"20 points et plus";"1";"1";"1";"2 moteurs";"Oui";"Moins de 6 kg";"Oui";"Oui";"Oui";"Oui";"A gauche";"Oui";"100 - 150 bars";"Oui";"1000 W";"Oui";"";"Par condensation";"Aluminium";"Oui";"Americain";"Groupe filtrant";"Jusque 400 m3";"1,5 mn";"Autre";"Oui";"Accessoires aspirateur";"Hublot";"1-2-3 Spresso";"Autre";"Encastrable";"Barbecue électrique";"Oui";"1100 tours/min";"De 141 a 149";"Evacuation"
"Bol doseur";"";"";"";"";"18 hrs";"";"";"";"1 L";"Jusqu' a  30kg";"Autre";"A++";"";"";"";"";"100 L";"Autre";"";"Convection";"";"110 g/mn";"";"";"21 kpa";"60 cm";"";"";"";"";"";"Electrique";"Bois, Charbon";"Occasion";"";"";"";"";"";"Eminceur";"";"";"";"";"";"";"";"";"";"";"59.5 cm";"";"Airlux";"Aluminium";"";"Chaleur pulsée";"Catalyse";"41 dB";"12";"3 foyers";"2";"De 11 a 30";"10";"2";"10 ou plus";"Affichage digital";"";"";"";"";"";"";"En bas";"";"15 bars";"";"1000W et moins";"";"";"Par evacuation";"Autre";"";"Armoire";"Hotte d'angle";"";"10 mn";"Other";"";"Accessoires cafetière";"Ouverture dessus";"Autre";"Sans sac filtre cyclone";"Pose libre";"Cuiseur vapeur";"";"1200 tours/min";"De 150 a 179";"Hybride"
"Bol melangeur";"";"";"";"";"19 heures";"";"";"";"1 personne";"Jusqu' a 15kg";"Bac de recuperation";"A+++";"";"";"";"";"103 L";"Blanc";"";"Grill";"";"120 g/mn";"";"";"23 kpa";"< 45 cm";"";"";"";"";"";"Electrique et gaz";"Electrique";"";"";"";"";"";"";"Hachoir";"";"";"";"";"";"";"";"";"";"";"60 cm";"";"Aquavac";"Autre";"";"Chaleur tournante";"Ecoclean";"42 dB";"14";"4 foyers";"3";"De 2 a 10";"2";"3";"5 ou moins";"Affichage du temps restant";"";"";"";"";"";"";"En haut";"";"160 - 200 bars";"";"1001 a 1300W";"";"";"";"Ceramique";"";"Autocuiseur";"Hotte décorative";"";"12-15 mn";"Other (specify in Description)";"";"Accessoires congélateur";"Par le dessus";"Caffita";"Sans sac filtre eau et poussiere";"Table top";"Cuiseur à riz";"";"1300 tours/min";"De 180 a 259";"Recyclage"
"Brosse";"";"";"";"";"1h";"";"";"";"1,2 L";"Jusqu'a 20 kg";"Boutonniere automatique";"A++++";"";"";"";"";"108 L";"Bleu";"";"Micro-ondes";"";"130 g/mn";"";"";"24 kpa";"< 90 cm";"";"";"";"";"";"Gaz";"Gaz";"";"";"";"";"";"";"Mixeur";"";"";"";"";"";"";"";"";"";"";"64 cm";"";"Ariston";"Bois";"";"Charbon";"Manuel";"43 dB";"2";"5 foyers";"4";"De 31 a 100";"4";"4";"De 2 a 4";"Affichage par diodes";"";"";"";"";"";"";"";"";"18 bars";"";"1100 W";"";"";"";"Inox";"";"Autre";"Hotte encastrable";"";"15 secondes";"";"";"Accessoires de couture";"";"Carte Noire";"";"";"Friteuse";"";"1400 tours/min";"De 260 a 316";""
"Brosse parquet";"";"";"";"";"20 hrs";"";"";"";"1,3 L";"Moins de 10kg";"Bras libre";"B";"";"";"";"";"11 L";"Bordeaux";"";"Rotissoire";"";"140 g/mn";"";"";"25 kpa";"> 45 cm";"";"";"";"";"";"";"Halogene";"";"";"";"";"";"";"Petrin";"";"";"";"";"";"";"";"";"";"";"70 cm";"";"Astoria";"Céramique";"";"Convection naturelle";"Pyrolyse";"44 dB";"4";"";"Plus de 4";"Moins de 20 points";"4 à 8 pots";"";"De 5 a 10";"Affichage temps restant";"";"";"";"";"";"";"";"";"19 bars";"";"1200 W";"";"";"";"Revetement anti-adherent";"";"Brosse";"Hotte escamotable";"";"2 mn";"";"";"Accessoires de cuisine";"";"Gaggia";"";"";"Mijoteuse";"";"1500 tours/min";"De 317 a 425";""
"Cable enrouleur";"";"";"";"";"21 hrs";"";"";"";"1,5 L";"Plus de  30kg";"Brassé";"C";"";"";"";"";"110 L";"Bronze";"";"Vapeur";"";"150 g/mn";"";"";"26 kpa";"> 90 cm";"";"";"";"";"";"";"Induction";"";"";"";"";"";"";"Presse-agrumes";"";"";"";"";"";"";"";"";"";"";"72.5 cm";"";"Autre";"Email";"";"Multifonction";"";"45 dB";"6";"";"";"Plus de 100";"6";"";"Plus de 4";"Air brasse";"";"";"";"";"";"";"";"";"3 bars";"";"1301 a 1500W";"";"";"";"";"";"Coffre";"Hotte visière ou tiroir";"";"3 mn";"";"";"Accessoires de nettoyage";"";"Illy";"";"";"Multicuiseur";"";"1600 tours/min";"De 426 a 450";""
"Crochets";"";"";"";"";"25 hrs";"";"";"";"1,6 L";"";"Coupe-fil integre";"D";"";"";"";"";"115 L";"Dore";"";"";"";"160 g/mn";"";"";"27 kpa";"Autre";"";"";"";"";"";"";"Mixte";"";"";"";"";"";"";"Rape";"";"";"";"";"";"";"";"";"";"";"76 cm";"";"Bauknecht";"Faience";"";"Vapeur";"";"46 dB";"8";"";"";"";"8";"";"Vitesse variable";"Alarme";"";"";"";"";"";"";"";"";"3,2 bars";"";"1400 W";"";"";"";"";"";"Combiné";"Ilot central";"";"4 mn";"";"";"Accessoires du linge";"";"Lavazza  A Modo Mio";"";"";"Plancha";"";"Autre";"De 50 a 140";""
"Diffuseur de parfum";"";"";"";"";"2h et plus";"";"";"";"10 et plus";"";"Couture arriere instantanee";"E";"";"";"";"";"12 L";"Gris";"";"";"";"170 g/mn";"";"";"28 kpa";"Combiné";"";"";"";"";"";"";"Vitroceramique";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"90 cm";"";"Beko";"Fer blanc";"";"";"";"47 dB";"Plus de 14";"";"";"";"Moins de 4 pots";"";"";"Arret cuve pleine";"";"";"";"";"";"";"";"";"3,5 bars";"";"1450 W";"";"";"";"";"";"Combiné/multifonction";"";"";"5 mn";"";"";"Accessoires fer et centrale";"";"Lavazza Blue";"";"";"";"";"n.c";"Moins de 50";""
"Electro brosse";"";"";"";"";"30 mn et plus";"";"";"";"10 kg";"";"Cuve amovible";"F";"";"";"";"";"13 L";"Jaune";"";"";"";"180 g/mn";"";"";"29 kpa";"Combiné table de cuisson";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91.1 cm";"";"Bernina";"Fonte";"";"";"";"48 dB";"";"";"";"";"Plus de 10";"";"";"Autonomie coupure d'electricite";"";"";"";"";"";"";"";"";"4 bars";"";"1500 W";"";"";"";"";"";"Condensation";"";"";"6 mn";"";"";"Accessoires four";"";"Melitta-My Cup";"";"";"";"";"";"Plus de 450";""
