"Categorie";"Champ spécifique";"Nom Web Service"
"Electroménager";"Autonomie";"autonomie_veille"
"Electroménager";"Niveau sonore";"niveau_sonore"
"Electroménager";"Vitesse d'essorage";"vitesse_essorage"
"Electroménager";"Caracteristiques";"caracteristiques"
"Electroménager";"Capacite";"capacite"
"Electroménager";"Puissance (Watts)";"puissance"
"Electroménager";"Type";"type_1"
"Electroménager";"Etat 2";"etat"
"Electroménager";"Materiau";"matiere"
"Electroménager";"Couleur";"couleur"
"Electroménager";"Marque";"marque"
"Electroménager";"Titre 2";"titre"
"Electroménager";"Dimensions";"dimensions"
"Electroménager";"Sous-type";"sous_type"
"Electroménager";"Accessoires fournis";"accessoires"
"Electroménager";"Fonctions";"fonctions"
"Electroménager";"Options";"options"
"Electroménager";"Largeur(cm)";"largeur"
"Electroménager";"Type de filtre";"type_filtre"
"Electroménager";"Capacite de congelation (/24h)";"capacite_congelation"
"Electroménager";"Classe energetique";"classe_energetique"
"Electroménager";"Cuisson du four";"cuisson_four"
"Electroménager";"Debit d'air(m3/h)";"debit_dair"
"Electroménager";"Energie four";"energie_four"
"Electroménager";"Energie plaques";"energie_plaques"
"Electroménager";"Nettoyage du four";"nettoyage_four"
"Electroménager";"Nombre d'etoiles";"nombre_etoiles"
"Electroménager";"Nombre de couverts";"nombre_couverts"
"Electroménager";"Nombre de plaques";"nombre_plaques"
"Electroménager";"Nombre de points";"nombre_points"
"Electroménager";"Nombre de tasses";"nombre_tasses"
"Electroménager";"Nombre de vitesses";"nombre_vitesses"
"Electroménager";"Position du congelateur";"position_congelateur"
"Electroménager";"Sechage";"sechage"
"Electroménager";"Semelle";"semelle"
"Electroménager";"Type de chargement";"type_chargement"
"Electroménager";"Type de dosettes";"type_dosettes"
"Electroménager";"Type de pose";"type_pose"
"Electroménager";"Volume total (Litres)";"volume"
"Electroménager";"Zone d' extraction";"zone_extraction"
"Electroménager";"Touches sensitives";"has_touchcontrol"
"Electroménager";"Double four";"double_oven"
