"Categorie";"Champ spécifique";"Nom Web Service"
"Electroménager";"Sous-type";"sous_type"
"Electroménager";"Couleur";"couleur"
"Electroménager";"Titre 2";"titre"
"Electroménager";"Fonctions";"fonctions"
"Electroménager";"Nombre de plaques";"nombre_plaques"
"Electroménager";"Nombre de vitesses";"nombre_vitesses"
"Electroménager";"Arrêt automatique";"arret_automatique"
"Electroménager";"Ouverture facile";"ouverture_facile"
"Electroménager";"Fonction baguette";"fonction2"
"Electroménager";"Electrique";"electrique"
"Electroménager";"Distributeur boisson";"fonction15"
"Electroménager";"Minuteur";"fonction3"
"Electroménager";"Dégivrage automatique";"degivrage_auto"
"Electroménager";"Format piano";"format"
"Electroménager";"Silencieux (- de 56 dB)";"fonction13"
"Electroménager";"Fonction vapeur";"fonction17"
"Electroménager";"Foyer modulable";"modele"
"Electroménager";"Autonomie limitée";"autonomie_limitee"
"Electroménager";"Préparation sans gluten";"preparation_sans_gluten"
"Electroménager";"Combo lave linge / sèche linge";"fonction14"
"Electroménager";"Niveau sonore";"niveau_sonore"
"Electroménager";"Double four";"double_oven"
"Electroménager";"Fonction laveur";"lavable"
"Electroménager";"Etat 2";"etat"
"Electroménager";"Marque";"marque"
"Electroménager";"Options";"options"
"Electroménager";"Type de filtre";"type_filtre"
"Electroménager";"Capacite de congelation (/24h)";"capacite_congelation"
"Electroménager";"Garantie constructeur";"garantie_constructeur"
"Electroménager";"Garantie Marchand";"garantie_marchand"
"Electroménager";"Installation";"installation"
"Electroménager";"Classe energetique";"classe_energetique"
"Electroménager";"Vitesse d'essorage";"vitesse_essorage"
"Electroménager";"Caracteristiques";"caracteristiques"
"Electroménager";"Consommation";"consommation"
"Electroménager";"Compatibilité";"compatibilite"
"Electroménager";"Sans fil";"sans_fil"
"Electroménager";"Variateur de vitesse";"vitesse"
"Electroménager";"Eclairage intégré";"eclairage"
"Electroménager";"Type";"type_1"
"Electroménager";"Fonction brosse";"brillance"
"Electroménager";"Coupe";"coupe"
"Electroménager";"Style";"style"
"Electroménager";"Aspirette détachable";"fonction7"
"Electroménager";"Brosse spéciale parquet";"fonction8"
"Electroménager";"Poids";"poids"
"Electroménager";"Programmation électronique";"fonction5"
"Electroménager";"Aspiration d'eau et poussière";"fonction6"
"Electroménager";"Puissance (Watts)";"puissance"
"Electroménager";"Fonction turbo brosse";"fonction"
"Electroménager";"Autonomie";"autonomie_veille"
"Electroménager";"Nombre de points";"nombre_points"
"Electroménager";"Cuisson rapide";"cuisson_rapide"
"Electroménager";"Nombre de tasses";"nombre_tasses"
"Electroménager";"Gain de place";"fonction11"
"Electroménager";"Encastrable";"fonction12"
"Electroménager";"Touches sensitives";"has_touchcontrol"
"Electroménager";"Combustible";"combustible"
"Electroménager";"Anti-adhésif";"anti_adhesif"
"Electroménager";"Compatible induction";"compatibilite_induction"
"Electroménager";"Manche amovible";"manches"
"Electroménager";"Revêtement céramique";"revetement_ceramique"
"Electroménager";"Porte en verre";"fonction16"
"Electroménager";"Mode cuisson";"mode"
"Electroménager";"Largeur";"largeur"
"Electroménager";"Nombre de foyers";"nombre_disques"
"Electroménager";"Porte froide";"flex"
"Electroménager";"Utilisation cuisson";"utilisation_cuisson"
"Electroménager";"Materiau";"matiere"
"Electroménager";"Pression";"puissance_w"
"Electroménager";"Fonction traineau";"floor"
"Electroménager";"Fonction aspirateur";"fonction4"
"Electroménager";"Fonction pressing";"fonction10"
"Electroménager";"Défroissage vertical";"fonction9"
"Electroménager";"Temps de préparation";"temps_reponse"
"Electroménager";"Cuisson du four";"cuisson_four"
"Electroménager";"Energie four";"energie_four"
"Electroménager";"Energie plaques";"energie_plaques"
"Electroménager";"Nombre d'etoiles";"nombre_etoiles"
"Electroménager";"Nombre de couverts";"nombre_couverts"
"Electroménager";"Dimensions";"dimensions"
"Electroménager";"Nettoyage du four";"nettoyage_four"
"Electroménager";"Semelle";"semelle"
"Electroménager";"Type de dosettes";"type_dosettes"
"Electroménager";"Volume total (Litres)";"volume"
"Electroménager";"Zone d' extraction";"zone_extraction"
"Electroménager";"Position du congelateur";"position_congelateur"
"Electroménager";"Sechage";"sechage"
"Electroménager";"Type de pose";"type_pose"
"Electroménager";"Type de chargement";"type_chargement"
"Electroménager";"Débit d'air";"debit_dair"
"Electroménager";"Capacite";"capacite"
"Electroménager";"Dépression";"depression"
"Electroménager";"Poignée rabatable";"poignee"
"Electroménager";"Accessoires fournis";"accessoires"
"Electroménager";"Surface de chauffe";"surface"
"Electroménager";"Forme";"forme"
"Electroménager";"Pompe à chaleur";"pompe_chaleur"
"Electroménager";"Boutonnière automatique";"boutons_manchettes"
