"Accessoires";"Affichage (lignes)";"Age";"Alimentation";"Avec enveloppe";"Capacité fermoir";"Capacité stockage média";"Caracteristiques";"Couleur";"Couleur encre";"Couleur référence";"Degré blancheur";"Description pointe";"Description revêtement";"Destinataire";"Diamètre";"Diamètre intérieur";"Dureté mine";"Est pré imprimé";"Etat 2";"Finition papier";"Fonctionnalités particulières";"Garantie constructeur";"Garantie Marchand";"Longueur article";"Lot";"Marque";"Matière";"Matière couverture";"Nombre articles par boite";"Nombre de cartes";"Nombre de trous";"Nombre fermoirs";"Nombre unités comprises";"Occasion";"Poids article";"Poids Colis";"Poids Colis (unite de mesure)";"Position onglet";"Position reliure";"Pourcentage contenu recyclé";"Pourcentage contenu recyclé post-consommation";"Pourcentage contenu recyclé pré-consommation";"Reliure";"Sous-type";"Taille extensible maximale";"Taille ligne";"Taille papier";"Titre 2";"Type";"Type coin papier";"Type coupe onglet";"Type fermoir";"Type peinture";"Type point";"Type stylo";"Vitesse de gravure";"Volume article"
"Bijoux";"-";"";"-";"";"";"";"8 cm";"-";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"-";"";"";"";"";"";"";"-";""
"Boitier";"1";"";"Batterie";"";"";"";"A cartouches";"Argente";"";"";"";"";"";"";"";"";"";"";"Neuf";"";"";"";"";"";"10 ou moins";"Apple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,5";"";"";"";"";"Autre";"";"";"";"";"";"";"Au moins x10";""
"Boitier mince";"2";"";"Pile";"";"";"";"Audio";"Autre";"";"";"";"";"";"";"";"";"";"";"Occasion";"";"";"";"";"";"De 11 a 50";"Aurodis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,7";"";"";"";"";"Basique";"";"";"";"";"";"";"Au moins x12";""
"Ceinture";"3";"";"Secteur";"";"";"";"Autre";"Blanc";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"De 51 a 100";"Aurora";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 couleurs";"";"";"";"";"Boitier vide";"";"";"";"";"";"";"Au moins x16";""
"Chaussettes";"Plus de 3";"";"Solaire";"";"";"";"Avec ecrin";"Bleu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Plus de 100";"Autre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre";"";"";"";"";"Crayon a papier";"";"";"";"";"";"";"Au moins x24";""
"Cravate";"";"";"";"";"";"";"Avec housse";"Bordeaux";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BenQ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bille + Porte-mines";"";"";"";"";"Crayon de couleur";"";"";"";"";"";"";"Au moins x4";""
"Lunettes";"";"";"";"";"";"";"Convertisseur de devises";"Bronze";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bluesky";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Blu-ray R";"";"";"";"";"Feutre, Marqueur";"";"";"";"";"";"";"Au moins x48";""
"Pochette";"";"";"";"";"";"";"Double couche";"Dore";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Canon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Blu-ray RE";"";"";"";"";"Financiere";"";"";"";"";"";"";"Au moins x52";""
"Tablier";"";"";"";"";"";"";"Ecran couleur";"Gris";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Casino";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD-R";"";"";"";"";"Housse, Etui";"";"";"";"";"";"";"Au moins x6";""
