"Categorie";"Champ spécifique";"Nom Web Service"
"High-Tech";"Commentaire etat";"commentaire_etat"
"High-Tech";"Technologie";"technologie"
"High-Tech";"Capacité HDD";"capacite_disque_dur"
"High-Tech";"Zoom";"zoom"
"High-Tech";"Type";"type_1"
"High-Tech";"Vibration";"vibration"
"High-Tech";"Nombre de licences";"nombre_licences"
"High-Tech";"Nombre de ports";"nombre_ports"
"High-Tech";"Norme";"norme"
"High-Tech";"Pages par minute";"pages_minute"
"High-Tech";"Support";"support"
"High-Tech";"Dock";"dock"
"High-Tech";"Vitesse de gravure";"vitesse_ecriture_cd"
"High-Tech";"Taille de l'écran";"taille_ecran"
"High-Tech";"Chipset";"chipset"
"High-Tech";"Couleur";"couleur"
"High-Tech";"Contraste";"contraste"
"High-Tech";"Constructeur";"constructeur"
"High-Tech";"Connecteur réseau";"connecteur"
"High-Tech";"Fréquence rafraichissement max";"frequence_rafraichissement"
"High-Tech";"Fréquence mémoire";"frequence_memoire"
"High-Tech";"Garantie";"garantie"
"High-Tech";"Hauteur";"hauteur"
"High-Tech";"Ecran tactile";"ecran"
"High-Tech";"Largeur";"largeur"
"High-Tech";"Matière";"matiere"
"High-Tech";"Niveau sonore";"niveau_sonore"
"High-Tech";"Nombre de canaux audio";"nombre_canaux"
"High-Tech";"Nombre et type de slots";"nombre_de_trous"
"High-Tech";"Norme réseau";"norme_reseau"
"High-Tech";"Profondeur";"profondeur"
"High-Tech";"Format boîtier";"format"
"High-Tech";"Support du processeur";"support_compatible"
"High-Tech";"Système d'exploitation fourni";"systeme"
"High-Tech";"Tuner TV";"tuner"
"High-Tech";"Type de câbles";"type_cable"
"High-Tech";"Norme du clavier";"type_clavier"
"High-Tech";"Type de mémoire";"type_memoire"
"High-Tech";"Vitesse de rotation du disque dur";"vitesse"
"High-Tech";"Vitesse d'écriture DVD";"vitesse_ecriture_dvd"
"High-Tech";"Type de souris";"type_souris"
"High-Tech";"Type de connection";"type2"
"High-Tech";"Gamme";"gamme"
"High-Tech";"Haut-parleurs";"haut_parleur"
"High-Tech";"Nombre de barrettes";"nombre_bobines"
"High-Tech";"Capacité maximale de RAM";"capacite_max_ram"
"High-Tech";"Capacité maximale de RAM par slot";"capacite_max_ram_slot"
"High-Tech";"Chipset graphique";"chipset_graphique"
"High-Tech";"Clavier rétroéclairé";"clavier_lumiere"
"High-Tech";"Connecteurs panneau arrière";"connectique_arriere"
"High-Tech";"Connecteurs panneau avant";"connectique_avant"
"High-Tech";"Consommation";"consommation"
"High-Tech";"Consommation en veille";"consommation_veille"
"High-Tech";"Contrôleur graphique intégré";"controleur_graphique"
"High-Tech";"Contrôleur réseau intégré";"controleur_reseau"
"High-Tech";"Dalle brillante";"ecran_brillance"
"High-Tech";"Dot Pitch";"dot_pitch"
"High-Tech";"Entrée audio";"entree_audio"
"High-Tech";"Entrée vidéo";"entree_video"
"High-Tech";"Famille OS";"famille_os"
"High-Tech";"Format de disque";"format_disque"
"High-Tech";"Chipset audio";"chipset_audio"
"High-Tech";"Fréquence CPU";"frequence_cpu"
"High-Tech";"Lecteur biométrique";"lecteur_biometrique"
"High-Tech";"Lecteur de disquettes";"lecteur_disquette"
"High-Tech";"Lecteur optique";"lecteur_optique"
"High-Tech";"Microphone intégré";"microphone_integre"
"High-Tech";"Nombre d'emplacements 3,5 pouces";"nb_emplacement_3_pouce"
"High-Tech";"Nombre d'emplacements 5,25 pouces";"nb_emplacement_5_pouce"
"High-Tech";"Pavé numérique";"clavier_pave"
"High-Tech";"Taille de la mémoire";"taille_memoire"
"High-Tech";"Taille de mémoire Max";"taille_memoire_max"
"High-Tech";"Taille mémoire vidéo";"taille_memoire_video"
"High-Tech";"Télécommande";"telecommande"
"High-Tech";"Temps de réponse";"temps_reponse"
"High-Tech";"Touches Multimédia";"clavier_touche_multimedia"
"High-Tech";"Type de disque système";"type_disque_systeme"
"High-Tech";"Type de graveur";"type_graveur"
"High-Tech";"Type de lecteur";"type_lecteur"
"High-Tech";"Type de multi-CPU";"type_multi_cpu"
"High-Tech";"Type de processeur";"type_processeur"
"High-Tech";"Webcam";"webcam"
"High-Tech";"Luminosité";"luminosite"
"High-Tech";"Compatible 3D";"compatibilite_3d"
"High-Tech";"Type d'écran";"type_ecran"
"High-Tech";"Modèle";"modele"
"High-Tech";"Usage";"usage"
"High-Tech";"Interface";"interface"
"High-Tech";"Sortie vidéo";"sortie_video"
"High-Tech";"Pliable";"pliable"
"High-Tech";"Picoprojecteur";"picoprojecteur"
"High-Tech";"Tuner TNT intégré";"fonction"
"High-Tech";"Enregistrement HD";"hd_recording"
"High-Tech";"Wifi";"wifi"
"High-Tech";"Mains libres";"mains_libre"
"High-Tech";"Emplacement";"emplacement"
"High-Tech";"Caisson basses intégré";"caisson"
"High-Tech";"Standard WLAN";"standard_wlan"
"High-Tech";"Mode 3D";"3d"
"High-Tech";"Sortie audio";"sortie_audio"
"High-Tech";"Résolution max";"resolution"
"High-Tech";"Batterie";"fonction4"
"High-Tech";"Pile rechargeable";"fonction5"
"High-Tech";"Lecteur intégré";"lecteur"
"High-Tech";"Hertz";"fonction6"
"High-Tech";"Portée";"portee"
"High-Tech";"DLNA";"fonction3"
"High-Tech";"Infos traffic";"informations"
"High-Tech";"Port USB";"ports"
"High-Tech";"GPS";"gps"
"High-Tech";"Routeur";"routeur"
"High-Tech";"Tuner TNT";"tnt"
"High-Tech";"Bluetooth";"bluetooth"
"High-Tech";"Puissance sonore";"puissance_sonore"
"High-Tech";"Carte mémoire fournie";"carte_memoire_fournie"
"High-Tech";"Sous-type";"sous_type"
"High-Tech";"Autonomie";"autonomie"
"High-Tech";"Sans-fil";"sans_fil"
"High-Tech";"Fixation";"fixation"
"High-Tech";"Lecteur de cartes";"lecteur_carte"
"High-Tech";"Mémoire RAM";"memoire_ram"
"High-Tech";"TNT HD";"tnt_hd"
"High-Tech";"Longueur";"longueur"
"High-Tech";"Format du produit";"format_produit"
"High-Tech";"Alarme";"alarme"
"High-Tech";"Portable";"portable"
"High-Tech";"Radio";"radio"
"High-Tech";"Systeme d'exploitation";"systeme_exploitation"
"High-Tech";"Compatibilité";"compatibilite"
"High-Tech";"Format de l'écran";"format_ecran"
"High-Tech";"Consommable";"consommable"
"High-Tech";"Type d'accessoire";"type3"
"High-Tech";"Répondeur";"repondeur"
"High-Tech";"Etanchéité";"etancheite"
"High-Tech";"Projecteur";"projecteur"
"High-Tech";"Processeur";"processeur"
"High-Tech";"Capacité mémoire";"capacite_memoire"
"High-Tech";"Vitesse du processeur";"vitesse_processeur"
"High-Tech";"Alimentation";"alimentation"
"High-Tech";"MP3";"mp3"
"High-Tech";"AirPlay";"fonction2"
"High-Tech";"Motif";"motif"
