"AirPlay";"Alarme";"Alimentation";"Autonomie";"Batterie";"Bluetooth";"Caisson basses intégré";"Capacité HDD";"Capacité maximale de RAM";"Capacité maximale de RAM par slot";"Capacité mémoire";"Carte mémoire fournie";"Chipset";"Chipset audio";"Chipset graphique";"Clavier rétroéclairé";"Compatibilité";"Compatible 3D";"Connecteur réseau";"Connecteurs panneau arrière";"Connecteurs panneau avant";"Consommable";"Consommation";"Consommation en veille";"Constructeur";"Contraste";"Contrôleur graphique intégré";"Contrôleur réseau intégré";"Couleur";"Dalle brillante";"DLNA";"Dock";"Dot Pitch";"Ecran tactile";"Emplacement";"Enregistrement HD";"Entrée audio";"Entrée vidéo";"Etanchéité";"Famille OS";"Fixation";"Format boîtier";"Format de disque";"Format de l'écran";"Format du produit";"Fréquence CPU";"Fréquence mémoire";"Fréquence rafraichissement max";"Gamme";"Garantie";"GPS";"Hauteur";"Haut-parleurs";"Hertz";"Infos traffic";"Interface";"Largeur";"Lecteur biométrique";"Lecteur de cartes";"Lecteur de disquettes";"Lecteur intégré";"Lecteur optique";"Longueur";"Luminosité";"Mains libres";"Matière";"Mémoire RAM";"Microphone intégré";"Mode 3D";"Modèle";"Motif";"MP3";"Niveau sonore";"Nombre de barrettes";"Nombre de canaux audio";"Nombre de licences";"Nombre d'emplacements 3,5 pouces";"Nombre d'emplacements 5,25 pouces";"Nombre de ports";"Nombre et type de slots";"Norme";"Norme du clavier";"Norme réseau";"Pages par minute";"Pavé numérique";"Picoprojecteur";"Pile rechargeable";"Pliable";"Portable";"Portée";"Port USB";"Processeur";"Profondeur";"Projecteur";"Puissance sonore";"Radio";"Répondeur";"Résolution max";"Routeur";"Sans-fil"
"";"Non";"Eau";"1h";"";"Non";"Non";"1 To";"";"";"128 Go";"Non";"";"";"";"";"ATX / EPS";"Non";"";"";"";"Autre";"";"";"";"";"";"";"";"";"";"Non";"";"Non";"Externe";"Non";"";"";"Non";"";"Non";"";"";"10 et plus";"Compact";"";"";"";"";"";"Autre";"";"Non";"";"Non";"SATA II";"";"";"Non";"";"Lecteur DVD";"";"1 m";"2000 lumens";"Non";"";"1 Go";"";"Non";"mATX";"A motif";"Non";"";"";"";"-";"";"";"-";"";"-";"";"";"";"";"Non";"";"Non";"Non";"";"Non";"-";"";"Non";"1 W";"Non";"Non";"10 Mégapixels";"Non";"Filaire"
"";"Oui";"Mixte";"2h et plus";"";"Oui";"Oui";"100 Go";"";"";"16 Go";"Oui";"";"";"";"";"Mac";"Oui";"";"";"";"Cartouche";"";"";"";"";"";"";"";"";"";"Oui";"";"Oui";"";"Oui";"";"";"Oui";"";"Oui";"";"";"2,5";"De poche";"";"";"";"";"";"Europe";"";"Oui";"";"Oui";"SATA III";"";"";"Oui";"";"Lecteur blu-ray";"";"1.25 m";"2500 lumens";"Oui";"";"2 Go";"";"Oui";"";"Uni";"Oui";"";"";"";"1";"";"";"1";"";"128k (RNIS)";"";"";"";"";"Oui";"";"Oui";"Oui";"";"Oui";"68000";"";"Oui";"10 W";"Oui";"Oui";"10,1 Mégapixels";"Oui";"Non"
"";"";"Pile";"30 mn et plus";"";"";"";"120 Go";"";"";"160 Go";"";"";"";"";"";"Non";"";"";"";"";"Papier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,5";"";"";"";"";"";"";"France";"";"";"";"";"USB";"";"";"";"";"Non";"";"1.4 m";"";"";"";"4 Go";"";"";"";"";"";"";"";"";"10 et plus";"";"";"2";"";"56k (RTC)";"";"";"";"";"";"";"";"";"";"";"68040";"";"";"100 W";"";"";"10,2 Mégapixels";"";"Oui"
"";"";"Rechargeable";"Non renseigné";"";"";"";"128 Go";"";"";"2 Go";"";"";"";"";"";"Oui";"";"";"";"";"Toner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Oui";"";"1.45 m";"";"";"";"512 Mo et moins";"";"";"";"";"";"";"";"";"2";"";"";"3";"";"802.11 (WLAN)";"";"";"";"";"";"";"";"";"";"";"68EZ328";"";"";"110 W";"";"";"10,3 Mégapixels";"";"Sans fil"
"";"";"Sans piles";"Plus de 1h";"";"";"";"16 Go";"";"";"20 Go";"";"";"";"";"";"PC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Entre 7 et 9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.5 m";"";"";"";"Autre";"";"";"";"";"";"";"";"";"3";"";"";"4";"";"802.11a";"";"";"";"";"";"";"";"";"";"";"68LC040";"";"";"12 W";"";"";"10,7 Mégapixels";"";""
"";"";"Secteur";"";"";"";"";"160 Go";"";"";"30 Go";"";"";"";"";"";"PC/Mac";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.6 m";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"5";"";"802.11b";"";"";"";"";"";"";"";"";"";"";"8032";"";"";"120 W";"";"";"1024 x 768 pixels";"";""
"";"";"";"";"";"";"";"2 Go";"";"";"32 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.7 m";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"6";"";"802.11g";"";"";"";"";"";"";"";"";"";"";"80386";"";"";"125 W";"";"";"11,1 Mégapixels";"";""
"";"";"";"";"";"";"";"2 To";"";"";"4 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.75 m";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"7";"";"802.11n";"";"";"";"";"";"";"";"";"";"";"80486";"";"";"13 W";"";"";"12 Mégapixels";"";""
"";"";"";"";"";"";"";"250 Go";"";"";"64 Go";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.8 m";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"8";"";"ADSL";"";"";"";"";"";"";"";"";"";"";"80C31";"";"";"130 W";"";"";"12,1 Mégapixels";"";""
