"Categorie";"Champ spécifique";"Nom Web Service"
"Instruments de Musique et Partitions";"Accessoire";"accessoires"
"Instruments de Musique et Partitions";"Auteur";"auteur"
"Instruments de Musique et Partitions";"Branchement";"branchement"
"Instruments de Musique et Partitions";"Canaux DMX";"canaux_dmx"
"Instruments de Musique et Partitions";"Compatibilite";"compatibilite"
"Instruments de Musique et Partitions";"Compositeur";"compositeur"
"Instruments de Musique et Partitions";"Connectique";"connectique"
"Instruments de Musique et Partitions";"Couleur";"couleur"
"Instruments de Musique et Partitions";"Date de sortie";"date_parution"
"Instruments de Musique et Partitions";"Dexterite";"dexterite"
"Instruments de Musique et Partitions";"Editeur";"editeur"
"Instruments de Musique et Partitions";"Effet";"effet"
"Instruments de Musique et Partitions";"Etat 2";"etat"
"Instruments de Musique et Partitions";"Genre musical";"genre"
"Instruments de Musique et Partitions";"Instrument";"instrument"
"Instruments de Musique et Partitions";"Langue";"langue"
"Instruments de Musique et Partitions";"Lecture";"lecture"
"Instruments de Musique et Partitions";"Marque";"marque"
"Instruments de Musique et Partitions";"Materiau";"matiere"
"Instruments de Musique et Partitions";"Mode";"mode"
"Instruments de Musique et Partitions";"Modele";"modele"
"Instruments de Musique et Partitions";"Niveau";"niveau"
"Instruments de Musique et Partitions";"Nombre de canaux";"nombre_canaux"
"Instruments de Musique et Partitions";"Nombre de cordes";"nombre_cordes"
"Instruments de Musique et Partitions";"Nombre d'enceintes";"nombre_enceintes"
"Instruments de Musique et Partitions";"Nombre de licences";"nombre_licences"
"Instruments de Musique et Partitions";"Nombre de voies";"nombre_voies"
"Instruments de Musique et Partitions";"Options";"options"
"Instruments de Musique et Partitions";"Systeme d'exploitation";"systeme_exploitation"
"Instruments de Musique et Partitions";"Puissance";"puissance"
"Instruments de Musique et Partitions";"Sous-type";"sous_type"
"Instruments de Musique et Partitions";"Support";"support_compatible"
"Instruments de Musique et Partitions";"Taille";"taille"
"Instruments de Musique et Partitions";"Technologie";"technologie"
"Instruments de Musique et Partitions";"Titre 2";"titre"
"Instruments de Musique et Partitions";"Type";"type_1"
"Instruments de Musique et Partitions";"Type d'adapteur";"type_adapteur"
"Instruments de Musique et Partitions";"Type de cable";"type_cable"
"Instruments de Musique et Partitions";"Type de guitare";"type_guitare"
"Instruments de Musique et Partitions";"Type de piano numerique";"type_piano_numerique"
"Instruments de Musique et Partitions";"Vitesse";"vitesse"
