"Autres objets";"Bundles";"Classification PEGI";"Couleur";"Date de parution";"Editeur";"Etat";"Etat 2";"Format";"Format de media";"Garantie constructeur";"Garantie Marchand";"Genre";"Jeu en ligne";"Modele";"Nombre de joueurs";"Plateforme";"Sous-genre";"Sous-type";"Systeme d'exploitation";"Titre 2";"Type";"Type accessoire";"Type accessoire 2"
"Accessoire";"";"10+";"";"";"";"";"-";"";"aiff";"";"";"FPS ";"";"-";"";"Game Boy";"-";"Jeu d'action";"DOS";"";"3DS";"-";"-"
"Jeu";"";"12+";"";"";"";"";"Neuf";"";"avi";"";"";"Jeux QCM";"";"3DO";"";"Game Boy Advance";"Autre";"Jeu d'animaux";"Linux";"";"Accessoire 3DS";"Adaptateur";"1 Go"
"";"";"16+";"";"";"";"";"Neuf, emballe";"";"cd";"";"";"Jeux Sports et plein-air";"";"Apple";"";"Game Boy Color";"Baseball";"Jeu de course";"Mac OS 9.X";"";"Accessoires Nintendo DS";"Autre";"128 Mo"
"";"";"18+";"";"";"";"";"Occasion";"";"cd_rom";"";"";"Jeux d'action";"";"Atari";"";"Gamecube";"Basketball";"Jeu de fitness";"Mac OS X";"";"Accessoires Nintendo DSi";"Batterie";"16 Mo"
"";"";"3+";"";"";"";"";"";"";"diskette35";"";"";"Jeux d'action Armée et Espionnage";"";"Colecovision";"";"Gizmondo";"Bowling";"Jeu de plateforme";"Mac OS X 10.2 Jaguar";"";"Accessoires PS Vita";"Cable";"2 Go"
"";"";"7+";"";"";"";"";"";"";"diskette525";"";"";"Jeux d'action Chansons";"";"Commodore";"";"Linux";"Boxe";"Jeu de réflexion";"mac";"";"Accessoires PS2";"Case Modding";"256 Mo"
"";"";"A partir de 12 ans";"";"";"";"";"";"";"dvd_rom";"";"";"Jeux d'action Danse";"";"Intellivision";"";"Macintosh";"Chasse, Peche";"Jeu de rôle";"unix";"";"Accessoires PS3";"Chargeur";"32 Mo"
"";"";"A partir de 16 ans";"";"";"";"";"";"";"mp3";"";"";"Jeux d'action Horreur";"";"Microsoft Xbox";"";"N-Gage";"Foot";"Jeu de sport";"windows";"";"Accessoires PSP";"Eclairage";"4 Go"
"";"";"A partir de 18 ans";"";"";"";"";"";"";"mpeg";"";"";"Jeux d'action Monde virtuel";"";"Microsoft Xbox 360";"";"Nintendo 64";"Football americain";"Jeu de tir";"";"";"Accessoires WII";"Guide de strategie";"4 Mo"
"";"";"A partir de 3 ans";"";"";"";"";"";"";"vqf";"";"";"Jeux d'action Robots géants";"";"Neo Geo";"";"Nintendo DS";"Golf";"Jeu de voiture";"";"";"Accessoires XBOX";"Housse";"512 Mo"
"";"";"A partir de 7 ans";"";"";"";"";"";"";"wav";"";"";"Jeux d'action Science-Fiction";"";"Nintendo DS";"";"Nintendo DS Lite";"Hockey";"Jeu musicaux";"";"";"Accessoires XBOX 360";"Kit DVD";"64 Mo"
"";"";"Adulte";"";"";"";"";"";"";"wma";"";"";"Jeux d'action Shooter";"";"Nintendo Famicom";"";"Nintendo NES";"Lutte";"Jeu éducatif";"";"";"Accessoires baby foot";"Lecteur de carte memoire";"8 Mo"
"";"";"Tous publics";"";"";"";"";"";"";"";"";"";"Jeux d'action auto/moto";"";"Nintendo Game Boy";"";"Nintendo Super NES";"Skate-board";"Nintendo 3DS";"";"";"Accessoires billard";"Loupe";"Adaptateur manette"
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux d'action de combat";"";"Nintendo Game Boy Advance";"";"Nintendo Wii";"Snowboard";"Nintendo DS Lite";"";"";"Accessoires de fête";"Manette";"Adaptateur reseau"
"";"";"";"";"";"";"";"";"";"";"";"";"Jeux d'action musicaux";"";"Nintendo Game Boy Color";"";"Palm";"Sports extremes";"PS vita";"";"";"Accessoires jeux";"Memoire";"Autre"
