"Categorie";"Champ spécifique";"Nom Web Service"
"Jeux Vidéo";"Etat 2";"etat"
"Jeux Vidéo";"Format";"format_1"
"Jeux Vidéo";"Type accessoire";"type_accessoire"
"Jeux Vidéo";"Genre";"genre"
"Jeux Vidéo";"Sous-genre";"sous_genre"
"Jeux Vidéo";"Titre 2";"titre"
"Jeux Vidéo";"Modele";"modele"
"Jeux Vidéo";"Plateforme";"plateforme"
"Jeux Vidéo";"Type accessoire 2";"type_accessoire_2"
"Jeux Vidéo";"Autres objets";"autres_objets"
"Jeux Vidéo";"Systeme d'exploitation";"systeme_exploitation"
"Jeux Vidéo";"Classification PEGI";"classification_pegi"
"Jeux Vidéo";"Format de media";"format_media"
"Jeux Vidéo";"Etat";"etat"
"Jeux Vidéo";"Nombre de joueurs";"nombre_joueurs"
"Jeux Vidéo";"Bundles";"bundles"
"Jeux Vidéo";"Jeu en ligne";"jeu_ligne"
"Jeux Vidéo";"Couleur";"couleur"
