"Accessoire";"Age";"Age maximum recommande";"Age maximum (unite de mesure)";"Age minimum recommande";"Age minimum (unite de mesure)";"Animation";"Assemblage";"Avertissements de securite";"Caracteristiques";"Catégorie";"Couleur";"Couleur des cheveux";"Déguisement";"Echelle";"Editeur";"Emballage d'origine";"Epoque";"Etat 2";"Evolutif";"Fabricant";"Garantie constructeur";"Garantie Marchand";"Intéractif";"Kit de sécurité";"Lavage en machine";"Lot";"Marque";"Matiere";"Musique";"Nationalite";"Niveau";"Nom";"Nombre de joueurs maximum";"Nombre de pieces";"Objet";"Option";"Poids (g)";"Poids maximum recommande";"Poids maximum (unite de mesure)";"Public";"Qualite";"Radiocommandé";"Rarete";"Sexe";"Sonore, Musical";"Sous-theme";"Sous-type";"Style";"Taille";"Theme";"Traitement anti UV";"Type";"Unite de mesure d'age";"Univers";"Usage";"Veilleuse";"Voie"
"Aimant";"-";"";"";"";"";"-";"-";"";"A peindre";"Air hockey";"-";"-";"";"-";"-";"Emballage d'origine";"-";"-";"Non";"-";"";"";"Non";"Non";"Non";"Lot";"-";"-";"Non";"-";"-";"-";"-";"-";"-";"-";"-";"";"";"Adolescent";"-";"Non";"-";"-";"Sonore, Musical";"-";"-";"";"-";"-";"";"-";"ans";"-";"-";"Non";"-"
"Autre";"0 - 6 mois";"";"";"";"";"Autre";"A assembler";"";"Autre";"Aire de jeux";"Argente";"Autre";"";"1/10";"AEG";"";"Ancien regime";"Neuf";"Oui";"ACE";"";"";"Oui";"Oui";"Oui";"";"Airbus";"ABS";"Oui";"Afghan";"Adultes";"1000 Bornes";"Jusqu'a 10";"1";"Accessoire";"Autre";"10";"";"";"Adulte";"Autre";"Oui";"Assez rare";"Femme";"";"Autre";"1 face";"";"10 ans";"Aeroport";"";"3DS";"mois";"Autre";"Autre";"Oui";"Autre"
"Baguette";"1 an - 3 ans";"";"";"";"";"Electrique, a piles";"Autre";"";"Avec boite originale";"Autre";"Autre";"Blonds";"";"1/12";"Abysse";"";"Antiquite";"Occasion";"";"AJP Maquettes";"";"";"";"";"";"";"Airtronics";"Acrylique";"";"Allemand";"Enfants, Debutants";"Abalone";"Jusqu'a 2";"100";"Accessoires";"Bataille des Cinq Armees";"11.5";"";"";"Enfant";"Bonne, Good";"";"Autre";"Fille";"";"Batman";"10 joueurs";"";"12 ans";"Aeroport, Avions";"";"7 familles";"";"Babar";"De collection";"";"Cremaillere ( z )"
"Balle, Ballon";"10 ans et plus";"";"";"";"";"Mecanique, a cle";"Kit a monter";"";"Carte promotionnelle";"Babyfoot";"Beige";"Bruns";"";"1/125";"Against the Odds";"";"Autre";"";"";"AMT";"";"";"";"";"";"";"Alberon Dolls";"Argile";"";"Americain";"";"Appel du Cthulhu";"Jusqu'a 3";"1000";"Animal";"Battlefleet Gothic";"13.5";"";"";"Famille";"Correcte, Fine";"";"Commune";"Garcon";"";"Cendrillon";"100";"";"14 ans";"Animal";"";"Accessoire";"";"Barbie";"De collection Reborn";"";"Etroite ( e )"
"Billes";"3 ans - 5 ans";"";"";"";"";"Motorise";"Kit monte";"";"Collection, Serie";"Billards";"Blanc";"Noirs";"";"1/14";"Alea";"";"Conquetes coloniales";"";"";"Aeromod";"";"";"";"";"";"";"Alfa Romeo";"Argile polymerisee";"";"Australien";"";"Attrap' Souris";"Jusqu'a 4";"10000";"Autre";"Betes du chaos";"14";"";"";"Premier âge";"Excellente";"";"Decalee dans le temps";"Homme";"";"Peter Pan";"150";"";"16 ans";"Animal, Nature";"";"Accessoire 3DS";"";"Batman";"Pour enfant";"";"Forestiaire ( f )"
"Boitier";"5 ans - 8 ans";"";"";"";"";"Motorise et radiocommande";"Pre-assemble";"";"Edition collector (plus de 35 000)";"Cartes à collectionner";"Bleu";"Roux";"";"1/144";"Amigo";"";"Contemporain";"";"";"Air Loisir";"";"";"";"";"";"";"Alter";"Autre";"";"Autre";"";"Autre";"Jusqu'a 5";"1200";"Avion";"Blood Bowl";"De 7 a 9";"";"";"";"Mauvaise, Poor";"";"Epique";"Mixte";"";"Power Rangers";"2 faces, Reversible";"";"4 ans";"Armee";"";"Accessoire : Batteur de cartes";"";"Ben 10";"Pour poupee mannequin";"";"Metrique ( m )"
"Boule de cristal";"6 mois - 1 an";"";"";"";"";"Radiocommande";"";"";"Edition limitee (moins de 35 000)";"Cartes à jouer";"Bordeaux";"";"";"1/16";"Arplay";"";"I (De 1832 a 1925)";"";"";"Aires";"";"";"";"";"";"";"Anne Geddes";"Biscuit";"";"Autrichien";"";"Aventuriers du Rail";"Jusqu'a 6";"150";"Bateau";"Bretonnie";"Moins de 7";"";"";"";"Tres bonne, Near mint";"";"Holo";"Unisexe";"";"Spiderman";"200";"";"6 ans";"Art, Peinture";"";"Accessoire : Porte-cartes";"";"Blanche neige";"Pour poupee, poupon";"";""
"Cigarette";"8 ans - 10 ans";"";"";"";"";"Statique";"";"";"Emballage d'origine ouvert";"Console";"Bronze";"";"";"1/18";"Arplay Editions";"";"II (De 1926 a 1945)";"";"";"Airfix";"";"";"";"";"";"";"Apole";"Bois";"";"Britannique";"";"Awele";"Jusqu'a 7";"1500";"Batiment";"Chaos";"Plus de 14";"";"";"";"";"";"Legendaire";"";"";"Star Wars";"200 jetons";"";"8 ans";"Arts martiaux";"";"Accessoire : Sabot";"";"Bratz";"";"";""
"Craie";"A partir de 8 ans";"";"";"";"";"";"";"";"Emballage d'origine scelle";"Consoles éducatives";"Creme";"";"";"1/20";"Asmodee Editions";"";"III (De 1946 a 1970)";"";"";"Airtech";"";"";"";"";"";"";"Armand Marseille";"Carton";"";"Canadien";"";"Backgammon";"Jusqu'a 8";"1800";"Batiment, Maison";"Chasseurs de demons";"";"";"";"";"";"";"Peu commune";"";"";"Superman";"25";"";"L";"Astronaute";"";"Accessoire de decor";"";"Cars";"";"";""
"Foulard";"Adulte";"";"";"";"";"";"";"";"Format bridge";"Doudous";"Dore";"";"";"1/22";"Atlas games";"";"IV (De 1971 a 1990)";"";"";"Altaya";"";"";"";"";"";"";"Arnold";"Celluloid";"";"Chinois";"";"Barbie";"Jusqu'a 9";"18000";"Camion";"Chasseurs de sorcieres";"";"";"";"";"";"";"Rare";"";"";"Zorro";"300";"";"M";"Autre";"";"Accessoire de poker";"";"Charlotte aux Fraises";"";"";""
"Gant";"De 3 a 4";"";"";"";"";"";"";"";"Format poker";"Figurines d'action";"Gris";"";"";"1/24";"Australian Design Group";"";"Moyen Age";"";"";"Aludo";"";"";"";"";"";"";"Aroutcheff";"Cire";"";"Egyptien";"";"Bella";"Plus de 10";"2";"Engin de chantier";"Comtes vampires";"";"";"";"";"";"";"Secret rare";"";"";"";"300 jetons";"";"Moins de 4 ans";"Aventure";"";"Accessoire, Piece detachee";"";"Disney Princesse";"";"";""
"Gobelet";"De 5 a 7";"";"";"";"";"";"";"";"Haute-couture";"Garages";"Jaune";"";"";"1/25";"Autre";"";"Premier Empire";"";"";"Amati";"";"";"";"";"";"";"Artin";"Cuivre";"";"Espagnol";"";"Betty Boop";"Solitaire";"200";"Helicoptere";"Eldars";"";"";"";"";"";"";"Super rare";"";"";"";"3D";"";"S";"Aventure, Action";"";"Accessoires Nintendo DS";"";"Docteur La Peluche";"";"";""
"Housse";"De 8 a 11";"";"";"";"";"";"";"";"Interactive";"Instruments de musique";"Marron";"";"";"1/26";"Avalanche presse Ltd";"";"Premiere Guerre mondiale";"";"";"Artesania";"";"";"";"";"";"";"Artitec models";"Depron";"";"Francais";"";"Bohnanza";"";"2000";"Lot thematique";"Eldars Noirs";"";"";"";"";"";"";"Terrain de base";"";"";"";"400";"";"Taille unique";"BD";"";"Accessoires Nintendo DSi";"";"Dora l'exploratrice";"";"";""
"Piece";"Jusqu'a 8 ans";"";"";"";"";"";"";"";"Jouable en duel";"Jeux d'imitation";"Multicolore";"";"";"1/30";"Avalon Hill";"";"Revolution";"";"";"Artitec models";"";"";"";"";"";"";"Associated";"EPP";"";"Grec";"";"Bonne Paye";"";"250";"Monument";"Elfes noirs";"";"";"";"";"";"";"Ultimate";"";"";"";"400 jetons";"";"XL";"Bebe";"";"Accessoires PS Vita";"";"Dragon Ball";"";"";""
"Queue";"Moins de 2";"";"";"";"";"";"";"";"Jouable en tournoi";"Jeux de construction";"Noir";"";"";"1/32";"Bandai";"";"Second Empire";"";"";"Atlantic";"";"";"";"";"";"";"Aston Martin";"Etain a peindre";"";"Hindou";"";"Bonne Paye Voyage";"";"2500";"Moto";"Elfes sylvains";"";"";"";"";"";"";"Ultra rare";"";"";"";"50";"";"XS";"Bella Sara";"";"Accessoires PS2";"";"Furby";"";"";""
"Tapis";"Plus de 12";"";"";"";"";"";"";"";"Jumbo index";"Jeux de société";"Orange";"";"";"1/34";"Bioviva";"";"Seconde Guerre mondiale";"";"";"Atlas";"";"";"";"";"";"";"Attakus";"Etain peint";"";"Indien d'Amerique";"";"Bratz";"";"3";"Personnage";"Epic 40000";"";"";"";"";"";"";"";"";"";"";"500";"";"XXL";"Belle Epoque";"";"Accessoires PS3";"";"Gormiti";"";"";""
"Triangle";"Pour adolescents, adultes";"";"";"";"";"";"";"";"Militaire";"Jeux scientifiques";"Rose";"";"";"1/35";"Black Books";"";"V (1991 et apres)";"";"";"Auto Art";"";"";"";"";"";"";"Audi";"Feutre";"";"Italien";"";"COPS";"";"300";"Piece detachee : Brique, Plaque, Tige";"Fimir";"";"";"";"";"";"";"";"";"";"";"500 jetons";"";"XXS";"Boutique, Shopping";"";"Accessoires PSP";"";"Hannah Montana";"";"";""
"";"Pour juniors, de 5 a 12 ans";"";"";"";"";"";"";"";"Numerote";"Jouets de bain";"Rouge";"";"";"1/4";"Blackrock Editions";"";"";"";"";"Autre";"";"";"";"";"";"";"Austin";"Feutrine";"";"Japonais";"";"Carcassone";"";"3000";"Piece detachee : Connecteur";"Garde Imperiale";"";"";"";"";"";"";"";"";"";"";"8 joueurs";"";"";"Buffy";"";"Accessoires WII";"";"Hello Kitty !";"";"";""
"";"Pour les tout-petits, de 0 a 5 ans";"";"";"";"";"";"";"";"Plastifiees";"Jouets radio-commandés";"Transparent";"";"";"1/400";"Buki";"";"";"";"";"BMI Models";"";"";"";"";"";"";"Autorail";"Fibre de mais";"";"Mexicain";"";"Cathie";"";"350";"Piece detachee : Element";"Hauts elfes";"";"";"";"";"";"";"";"";"";"";"9 joueurs";"";"";"Call of Cthulhu";"";"Accessoires XBOX";"";"High School Musical";"";"";""
"";"Pour tous";"";"";"";"";"";"";"";"Poupee d'artiste";"Lecteur CD";"Turquoise";"";"";"1/43";"Caravelle Editions";"";"";"";"";"Bang";"";"";"";"";"";"";"Autre";"Laine";"";"Polonais";"";"Charlotte aux Fraises";"";"3500";"Piece detachee : Engrenage";"HeroQuest";"";"";"";"";"";"";"";"";"";"";"A pedales";"";"";"Campagne";"";"Accessoires XBOX 360";"";"Indiana Jones";"";"";""
"";"Tous âges";"";"";"";"";"";"";"";"Premium, Foil";"Lecteur CD, MP3, réveil, console";"Vert";"";"";"1/48";"Clementoni";"";"";"";"";"Berliet";"";"";"";"";"";"";"Aviator";"Laiton";"";"Prussien";"";"Cindy";"";"4";"Piece detachee : Moteur";"Hommes lezards";"";"";"";"";"";"";"";"";"";"";"A pousser";"";"";"Carnaval";"";"Accessoires baby foot";"";"Jake Le Pirate";"";"";""
"";"";"";"";"";"";"";"";"";"Proxy";"Lego";"Violet";"";"";"1/5";"Copsi";"";"";"";"";"Billing Boats";"";"";"";"";"";"";"Avioracing";"Metal";"";"Punjabi";"";"Citadelles";"";"4000";"Piece detachee : Roue";"Hordes du chaos";"";"";"";"";"";"";"";"";"";"";"Accessoire";"";"";"Chantier";"";"Accessoires billard";"";"Kung Fu Panda";"";"";""
"";"";"";"";"";"";"";"";"";"Radiocommande";"Loisirs créatifs";"";"";"";"1/50";"Days of Wonder";"";"";"";"";"Britains";"";"";"";"";"";"";"BJD";"Mousse";"";"Romain";"";"Cluedo";"";"5";"Plaque support";"Inquisitor";"";"";"";"";"";"";"";"";"";"";"Accessoire paysager";"";"";"Chantier de construction";"";"Accessoires de fête";"";"Kung Zhu Pets";"";"";""
"";"";"";"";"";"";"";"";"";"Version francaise";"MP3";"";"";"";"1/500";"Descartes";"";"";"";"";"Brooklin";"";"";"";"";"";"";"BMW";"Papier mache";"";"Russe";"";"Cluedo Voyage";"";"50";"Robot";"L'Empire";"";"";"";"";"";"";"";"";"";"";"Accessoire vestimentaire";"";"";"Chateau, Chevalier";"";"Accessoires jeux";"";"La maison de Mickey";"";"";""
"";"";"";"";"";"";"";"";"";"Version originale";"Maisonnettes";"";"";"";"1/55";"Djeco";"";"";"";"";"Brumm";"";"";"";"";"";"";"Babar";"Peluche";"";"Soudanais";"";"Coffret multi-jeux";"";"500";"Tracteur";"Man O'War";"";"";"";"";"";"";"";"";"";"";"Accordeon";"";"";"Chevaliers, Moyen-Age";"";"Accumulateur";"";"Lego";"";"";""
"";"";"";"";"";"";"";"";"";"";"Mini-univers";"";"";"";"1/6";"Dujardin";"";"";"";"";"Burago";"";"";"";"";"";"";"Bachmann";"Plastifiee(s)";"";"Suisse";"";"Colons de Catane";"";"5000";"Train";"Mercenaires";"";"";"";"";"";"";"";"";"";"";"Alfa Romeo";"";"";"Cinema";"";"Activite";"";"Littlest Pet Shop";"";"";""
"";"";"";"";"";"";"";"";"";"";"Ordi junior";"";"";"";"1/64";"Filosofia";"";"";"";"";"CBG Mignot";"";"";"";"";"";"";"Barbie";"Plastique";"";"Zoulou";"";"Confrontation";"";"5000 pièces et plus";"Vaisseau, Fusee";"Mordheim";"";"";"";"";"";"";"";"";"";"";"Américain";"";"";"Cinema, Dessin anime";"";"Aerien";"";"Max Steel";"";"";""
"";"";"";"";"";"";"";"";"";"";"Peluches";"";"";"";"1/65";"Gigamic";"";"";"";"";"Cararama &amp; Hongwell";"";"";"";"";"";"";"Batman";"Plastique a peindre";"";"";"";"Cranium";"";"6";"Vehicule";"Nains";"";"";"";"";"";"";"";"";"";"";"Animal";"";"";"Cinema, Film";"";"Air-hockey, Baby-hockey";"";"Maya";"";"";""
"";"";"";"";"";"";"";"";"";"";"Peluches interactives";"";"";"";"1/66";"Haba";"";"";"";"";"Charbens";"";"";"";"";"";"";"Bayko";"Plastique peint";"";"";"";"Dames";"";"6000";"Voiture";"Necromunda";"";"";"";"";"";"";"";"";"";"";"Animal de la ferme";"";"";"Cirque";"";"Aire de jeux";"";"Minnie";"";"";""
