"Categorie";"Champ spécifique";"Nom Web Service"
"Jeux et Jouets";"Traitement anti UV";"anti_uv"
"Jeux et Jouets";"Intéractif";"interactif"
"Jeux et Jouets";"Radiocommandé";"radiocommande"
"Jeux et Jouets";"Musique";"musique"
"Jeux et Jouets";"Veilleuse";"veilleuse"
"Jeux et Jouets";"Fabricant";"fabricant"
"Jeux et Jouets";"Nationalite";"nationalite"
"Jeux et Jouets";"Nom";"nom"
"Jeux et Jouets";"Nombre de joueurs maximum";"nombre_joueurs_maximum"
"Jeux et Jouets";"Objet";"type_objet"
"Jeux et Jouets";"Qualite";"qualite"
"Jeux et Jouets";"Rarete";"rarete"
"Jeux et Jouets";"Sonore, Musical";"sonore_musical"
"Jeux et Jouets";"Sous-theme";"sous_theme"
"Jeux et Jouets";"Voie";"voie"
"Jeux et Jouets";"Garantie constructeur";"garantie_constructeur"
"Jeux et Jouets";"Garantie Marchand";"garantie_marchand"
"Jeux et Jouets";"Déguisement";"deguisement"
"Jeux et Jouets";"Type";"type_1"
"Jeux et Jouets";"Age minimum recommande";"age_minimum_recommande"
"Jeux et Jouets";"Age minimum (unite de mesure)";"age_minimum_unite_mesure"
"Jeux et Jouets";"Age maximum recommande";"age_maximum_recommande"
"Jeux et Jouets";"Age maximum (unite de mesure)";"age_maximum_unite_mesure"
"Jeux et Jouets";"Poids maximum recommande";"poids_maximum_recommande"
"Jeux et Jouets";"Poids maximum (unite de mesure)";"poids_maximum_unite_mesure"
"Jeux et Jouets";"Style";"style"
"Jeux et Jouets";"Echelle";"echelle"
"Jeux et Jouets";"Emballage d'origine";"emballage"
"Jeux et Jouets";"Age";"age"
"Jeux et Jouets";"Catégorie";"categorie"
"Jeux et Jouets";"Accessoire";"accessoires"
"Jeux et Jouets";"Nombre de pieces";"nombre_pieces"
"Jeux et Jouets";"Marque";"marque"
"Jeux et Jouets";"Univers";"univers"
"Jeux et Jouets";"Unite de mesure d'age";"unite_age"
"Jeux et Jouets";"Avertissements de securite";"avertissements_securite"
"Jeux et Jouets";"Etat 2";"etat"
"Jeux et Jouets";"Sexe";"sexe"
"Jeux et Jouets";"Evolutif";"evolutif"
"Jeux et Jouets";"Kit de sécurité";"kit_securite"
"Jeux et Jouets";"Matiere";"matiere"
"Jeux et Jouets";"Taille";"taille"
"Jeux et Jouets";"Couleur";"couleur"
"Jeux et Jouets";"Public";"public"
"Jeux et Jouets";"Epoque";"epoque"
"Jeux et Jouets";"Theme";"theme"
"Jeux et Jouets";"Niveau";"niveau"
"Jeux et Jouets";"Editeur";"editeur"
"Jeux et Jouets";"Lot";"lot"
"Jeux et Jouets";"Poids (g)";"poids"
"Jeux et Jouets";"Caracteristiques";"caracteristiques"
"Jeux et Jouets";"Option";"options"
"Jeux et Jouets";"Usage";"usage"
"Jeux et Jouets";"Animation";"animation"
"Jeux et Jouets";"Assemblage";"assemblage"
"Jeux et Jouets";"Couleur des cheveux";"couleur_cheveux"
"Jeux et Jouets";"Sous-type";"sous_type"
"Jeux et Jouets";"Lavage en machine";"lave_vaisselle"
