"Accueil";"Anti taches";"Code couleur";"Code matière";"Collection";"Couleur dominante";"Dimensions (cm)";"Etat 2";"Finition";"Fixation";"Forme";"Garantie constructeur";"Garantie Marchand";"Grammage";"Grille de taille";"Indice";"Largeur (cm)";"Matiere";"Motif";"Nombre de pieces";"Personnalisation";"Public";"Sous-type";"Style";"Taille";"Transparence";"Type";"Type d'article de couture"
"";"Non traité";"";"";"Adulte";"-";"-";"-";"";"-";"Autre";"";"";"300 g/m2";"Bébé age et stature";"4 saisons";"-";"Acier";"A carreaux";"1";"Non personnalisé";"Adulte";"-";"-";"-";"";"Boutis";"Aiguilles"
"";"Traité anti-taches";"";"";"Enfant";"Argente";"150x150";"Neuf";"";"A galons";"Carré";"";"";"320 g/m2";"Bébé et Enfant - Age";"Autre";"100";"Aluminium";"Fantaisie";"2";"Personnalisé";"Bébé";"A capuche";"A carreaux";"100 x 190";"";"Brise bise";"Autre"
"";"";"";"";"";"Autre";"150x200";"Occasion";"";"A nouettes";"Rectangulaire";"";"";"330 g/m2";"Canapé et fauteuil";"Chaude";"110";"Anti-acarien";"Imprimé";"3";"";"Enfant";"A lames horizontales (Venitien)";"A motifs";"100 x 200";"";"Cache-sommier";"Coffret fil à coudre"
"";"";"";"";"";"Beige";"150x250";"";"";"A oeillets";"Ronde";"";"";"350 g/m2";"Chaussants";"Tempérée";"120";"Autre";"Rayé";"3 et plus";"";"Femme";"A lames verticales";"A rayures";"100x150 cm";"";"Chemin de table";"Kit accessoires"
"";"";"";"";"";"Blanc";"150x300";"";"";"A pattes";"";"";"";"360 g/m2";"Collant";"Très chaude";"130";"Bambou";"Uni";"4";"";"Fille";"Anneau";"Authentique";"100x180 cm";"";"Couette";"Livre de couture"
"";"";"";"";"";"Bleu";"170x170";"";"";"Autre";"";"";"";"380 g/m2";"Divers en tour";"Très tempérée";"135";"Bois";"";"5";"";"Garçon";"Autre";"Autre";"12/14 ans";"";"Couette";"Machine à coudre"
"";"";"";"";"";"Bordeaux";"170x250";"";"";"Enroulable";"";"";"";"400 g/m2";"EU";"";"140";"Boutis";"";"6";"";"Homme";"Bateau";"Bicolore";"120 x 190";"";"Coupon de tissu";"Mannequin couture"
"";"";"";"";"";"Bronze";"180x240";"";"";"Ourlet passe-tringle";"";"";"";"410 g/m2";"Enfant - Age";"";"150";"Broderie";"";"A l'unité";"";"Mixte";"Cape de bain";"Brocante de charme";"120 x 200";"";"Coussin";"Surjeteuse"
"";"";"";"";"";"Dore";"45x150";"";"";"";"";"";"";"420 g/m2";"Enfant année";"";"45";"Bulgomme";"";"En parure";"";"";"Chemin de table";"Brocante industrielle";"140 x 190";"";"Coussin chauffant";""
"";"";"";"";"";"Gris";"45x200";"";"";"";"";"";"";"420 g/m2";"Enfant mois";"";"50";"Caoutchouc";"";"Par 2";"";"";"Col châle";"Contemporain";"140 x 200";"";"Coussin de sol";""
