"Categorie";"Champ spécifique";"Nom Web Service"
"Livres";"Dimensions";"dimensions"
"Livres";"Impression";"impression"
"Livres";"Epoque";"epoque"
"Livres";"Format";"format_1"
"Livres";"Etat 2";"etat"
"Livres";"Garantie constructeur";"garantie_constructeur"
"Livres";"Garantie Marchand";"garantie_marchand"
"Livres";"Theme";"theme"
"Livres";"Titre 2";"titre"
"Livres";"ISBN-13";"isbn-13"
"Livres";"Support";"support_compatible"
"Livres";"Version";"version"
"Livres";"Instrument";"instrument"
"Livres";"Mois";"mois"
"Livres";"Annee de publication";"annee"
"Livres";"Langue";"langue"
"Livres";"Theme 2";"theme2"
"Livres";"Particularites";"particularites"
"Livres";"Type de publication";"type_publication"
"Livres";"Nom de la publication";"nom_publication"
"Livres";"Reliure";"reliure"
"Livres";"Niveau d'enseignement";"niveau_enseignement"
"Livres";"Type";"type_1"
"Livres";"Age";"age"
"Livres";"Auteur";"auteur"
"Livres";"Collection";"collection"
"Livres";"Date de parution";"date_parution"
"Livres";"Dessinateur";"dessinateur"
"Livres";"EAN";"__ean"
"Livres";"Genre";"genre"
"Livres";"Editeur";"editeur"
"Livres";"Illustration";"illustration"
"Livres";"ISBN";"isbn"
"Livres";"Nombre de pages";"nombre_pages"
"Livres";"Poids";"poids"
"Livres";"Scénario";"scenario"
