"Categorie";"Champ spécifique";"Nom Web Service"
"Logiciels";"Plateforme";"plateforme"
"Logiciels";"Sous-type";"sous_type"
"Logiciels";"Support";"support_compatible"
"Logiciels";"Nombre de licences";"nombre_licences"
"Logiciels";"Type";"type_1"
"Logiciels";"Date de parution";"date_parution"
"Logiciels";"Garantie constructeur";"garantie_constructeur"
"Logiciels";"Garantie Marchand";"garantie_marchand"
"Logiciels";"Etat 2";"etat"
"Logiciels";"Titre 2";"titre"
"Logiciels";"Editeur";"editeur"
"Logiciels";"Langue";"langue"
"Logiciels";"Systeme d'exploitation";"systeme_exploitation"
"Logiciels";"classification PEGI";"classification_pegi"
