"Categorie";"Champ spécifique";"Nom Web Service"
"Loisirs Créatifs";"Capacite en photos";"capacite_photos"
"Loisirs Créatifs";"Largeur (cm)";"largeur"
"Loisirs Créatifs";"Periode";"periode"
"Loisirs Créatifs";"Etat 2";"etat"
"Loisirs Créatifs";"Matiere";"matiere"
"Loisirs Créatifs";"Style";"style"
"Loisirs Créatifs";"Couleur";"couleur"
"Loisirs Créatifs";"Longueur (cm)";"longueur"
"Loisirs Créatifs";"Marque";"marque"
"Loisirs Créatifs";"Lots";"lot"
"Loisirs Créatifs";"Dimension (cm)";"dimensions"
"Loisirs Créatifs";"Theme";"theme"
"Loisirs Créatifs";"Sous-type";"sous_type"
"Loisirs Créatifs";"Forme";"forme"
"Loisirs Créatifs";"Nombre de pieces";"nombre_pieces"
"Loisirs Créatifs";"Caracteristiques";"caracteristiques"
"Loisirs Créatifs";"Diametre (mm)";"diametre"
"Loisirs Créatifs";"Nombre de points";"nombre_points"
"Loisirs Créatifs";"Usage";"usage"
"Loisirs Créatifs";"Sous-theme";"sous_theme"
"Loisirs Créatifs";"Type";"type_1"
"Loisirs Créatifs";"Conditionnement";"conditionnement"
"Loisirs Créatifs";"Dimensions (mm)";"dimensions_mm"
"Loisirs Créatifs";"Grammage (g/m2)";"grammage"
"Loisirs Créatifs";"Largeur (mm)";"largeur_mm"
"Loisirs Créatifs";"Numero aiguille";"numero_aiguille"
"Loisirs Créatifs";"Public";"public"
"Loisirs Créatifs";"Garantie constructeur";"garantie_constructeur"
"Loisirs Créatifs";"Garantie Marchand";"garantie_marchand"
