"Categorie";"Champ spécifique";"Nom Web Service"
"Maroquinerie et Accessoires";"Longueur (cm)";"longueur"
"Maroquinerie et Accessoires";"Sous-type";"sous_type"
"Maroquinerie et Accessoires";"Saison";"saison"
"Maroquinerie et Accessoires";"Année";"annee"
"Maroquinerie et Accessoires";"Grille de taille";"grille_taille"
"Maroquinerie et Accessoires";"Garantie constructeur";"garantie_constructeur"
"Maroquinerie et Accessoires";"Garantie Marchand";"garantie_marchand"
"Maroquinerie et Accessoires";"Accessoires inclus";"accessoires"
"Maroquinerie et Accessoires";"Etat 2";"etat"
"Maroquinerie et Accessoires";"Type";"type_1"
"Maroquinerie et Accessoires";"Style";"style"
"Maroquinerie et Accessoires";"Couleur";"couleur"
"Maroquinerie et Accessoires";"Marque Fabricant";"marque"
"Maroquinerie et Accessoires";"Categorie";"categorie"
"Maroquinerie et Accessoires";"Caracteristiques";"caracteristiques"
"Maroquinerie et Accessoires";"Autres informations";"informations"
"Maroquinerie et Accessoires";"Couleur Verres";"couleur_verres"
"Maroquinerie et Accessoires";"Indice de protection";"indice_protection"
"Maroquinerie et Accessoires";"Public";"public"
"Maroquinerie et Accessoires";"Largeur (cm)";"largeur_unite_mesure"
"Maroquinerie et Accessoires";"Matiere";"matiere"
"Maroquinerie et Accessoires";"Portée";"portee"
"Maroquinerie et Accessoires";"Taille";"taille"
"Maroquinerie et Accessoires";"Type de sac à main";"type2"
