"Accueil";"Allonge";"Authenticite";"Caracteristiques";"Categorie";"Convertible";"Couleur";"Diamètre";"Dimensions";"Emplacement dans la Maison";"Entretien";"Epoque";"Ergonomique";"Etat 2";"Fermeté";"Fete";"Fonction relax";"Forme";"Garantie constructeur";"Garantie Marchand";"Gonfleur intégré";"Grille de taille";"Hauteur";"Housse";"Impression";"Indépendance de couchage";"Largeur";"Lattes apparentes";"Longueur (cm)";"Marque";"Matiere";"Matière du tissu";"Nombre de chaises";"Nombre de pieces";"Nombre de places";"Nombre de portes";"Origine";"Parfum";"Periode";"Pliable";"Poids";"Profondeur";"Public";"Senteur";"Sommier cuvette";"Sommier déco";"Sous-type";"Soutien du dos";"Style";"Taille";"Temps de combustion";"Theme";"Type";"Type de latex";"Type de mousse";"Type de ressorts";"Unité des dimensions"
"Autre";"Avec allonges";"-";"-";"Accessoire salle de bain";"Convertible";"-";"";"-";"Bureau";"Non";"";"Non";"-";"Autre";"";"Non";"-";"";"";"Non";"Bébé age et stature";"De 121 à 170 cm";"Non";"";"Bonne";"De 111 à 140 cm";"Non";"";"-";"-";"";"-";"-";"-";"1 porte";"-";"-";"-";"Non";"";"10 cm";"Adulte";"-";"Non";"Non";"-";"Adapté dos sensible";"-";"";"";"-";"-";"Naturel";"A mémoire de forme";"Biconiques";""
"Enveloppant";"Sans allonge";"Inconnu";"24 heures";"Art de la table";"Non";"Argente";"";"100x190";"Chambre";"Oui";"";"Oui";"Neuf";"Equilibré";"";"Oui";"Angle";"";"";"Oui";"Bébé et Enfant - Age";"De 171 à 200 cm";"Oui";"";"Excellente";"De 141 à 170 cm";"Oui";"";"AM.PM.";"Acacia";"";"1";"1";"1";"2 portes";"Afrique";"Ambre";"1900-1949";"Oui";"";"11 cm";"Bébé";"Boisee";"Oui";"Oui";"1 tiroir";"Dos normal";"1940-1960";"";"";"Abstrait";"Abat-jour";"Synthétique";"Classique";"Ensachés";""
"Ferme";"";"Original";"A rabats";"Article de fête";"Oui";"Autre";"";"100x200";"Cuisine";"";"";"";"Occasion";"Ferme";"";"";"Arque";"";"";"";"Canapé et fauteuil";"Moins de 120 cm";"";"";"Très bonne";"De 171 à 200 cm";"";"";"Aline";"Acajou";"";"2";"10";"10";"3 portes";"Ameriques";"Ananas";"1950-1969";"";"";"12 cm";"Enfant";"Fleurie";"";"";"2 tiroirs";"";"1970";"";"";"Animal";"Abattant WC";"";"Haute résilience";"";""
"Fermeté modulable";"";"Original mis en vente par l'artiste";"A rallonges";"Décoration générale";"";"Beige";"";"120x190";"Entrée";"";"";"";"";"Mixte";"";"";"Autre";"";"";"";"Chaussants";"Plus de 200 cm";"";"";"";"De 81 à 110 cm";"";"";"Alinea";"Acier";"";"3";"2";"2";"4 portes";"Angleterre";"Autre";"1970-1989";"";"";"13 cm";"Tout public";"Fraiche, Verte";"";"";"3 tiroirs";"";"1980";"";"";"Animaux";"Accessoire";"";"Naturelle";"";""
"Moelleux";"";"Reproduction";"A restaurer";"Linge de Maison";"";"Blanc";"";"120x200";"Jardin";"";"";"";"";"Très ferme";"";"";"Batonnet";"";"";"";"Collant";"";"";"";"";"Moins de 80 cm";"";"";"Amadeus";"Acrylique";"";"4";"3";"3";"";"Asie";"Baies";"1990 et apres";"";"";"14 cm";"";"Fruitee";"";"";"A aiguilles";"";"1990";"";"";"Arbre, Branche";"Accessoire de rangement";"";"";"";""
"";"";"";"Autre";"Luminaire";"";"Bleu";"";"120x60 cm";"Salle de bain";"";"";"";"";"extra ferme";"";"";"Boite";"";"";"";"Divers en tour";"";"";"";"";"Plus de 200 cm";"";"";"Artifort";"Agglomere";"";"5";"4";"4";"";"Autre";"Cannelle";"Art Deco";"";"";"15 cm";"";"";"";"";"A cles";"";"A fleurs";"";"";"Architecture";"Accessoire, Piece detachee";"";"";"";""
"";"";"";"Avec rangement";"Mobilier";"";"Bleu clair";"";"130x190";"Salon";"";"";"";"";"souple";"";"";"Carre";"";"";"";"EU";"";"";"";"";"";"";"";"Autre";"Albatre";"";"6";"5";"5";"";"Belgique";"Caramel";"Art Nouveau";"";"";"16 cm";"";"";"";"";"A courses, avec anses";"";"A rayures";"";"";"Architecture, Monument";"Accessoires de bureau";"";"";"";""
"";"";"";"Bas-relief";"Objet ethnique";"";"Bleu fonce";"";"140x190";"";"";"";"";"";"";"";"";"Carree";"";"";"";"Enfant - Age";"";"";"";"";"";"";"";"Bournas";"Alcantara";"";"7";"6";"6";"";"Chine";"Cardamome";"Contemporain";"";"";"17 cm";"";"";"";"";"A musique";"";"Animaux";"";"";"Autre";"Accessoires de rangement";"";"";"";""
"";"";"";"Biseaute";"Tapisserie";"";"Bleu moyen";"";"140x200";"";"";"";"";"";"";"";"";"Carrée";"";"";"";"Enfant année";"";"";"";"";"";"";"";"Branex";"Aluminium";"";"8";"7";"7";"";"Espagne";"Cardamone";"Design du XXeme";"";"";"18 cm";"";"";"";"";"A pilules";"";"Antique";"";"";"Baroque";"Accessoires de salle de bain";"";"";"";""
