"Categorie";"Champ spécifique";"Nom Web Service"
"Meubles et Décoration";"Hauteur";"hauteur"
"Meubles et Décoration";"Profondeur";"profondeur"
"Meubles et Décoration";"Diamètre";"diametre"
"Meubles et Décoration";"Unité des dimensions";"unite_dimensions"
"Meubles et Décoration";"Type";"type_1"
"Meubles et Décoration";"Etat 2";"etat"
"Meubles et Décoration";"Matiere";"matiere"
"Meubles et Décoration";"Taille";"taille"
"Meubles et Décoration";"Style";"style"
"Meubles et Décoration";"Couleur";"couleur"
"Meubles et Décoration";"Longueur (cm)";"longueur"
"Meubles et Décoration";"Marque";"marque"
"Meubles et Décoration";"Categorie";"categorie"
"Meubles et Décoration";"Public";"public"
"Meubles et Décoration";"Dimensions";"dimensions"
"Meubles et Décoration";"Impression";"impression"
"Meubles et Décoration";"Epoque";"epoque"
"Meubles et Décoration";"Theme";"theme"
"Meubles et Décoration";"Origine";"origine"
"Meubles et Décoration";"Poids";"poids"
"Meubles et Décoration";"Sous-type";"sous_type"
"Meubles et Décoration";"Forme";"forme"
"Meubles et Décoration";"Nombre de pieces";"nombre_pieces"
"Meubles et Décoration";"Caracteristiques";"caracteristiques"
"Meubles et Décoration";"Largeur (cm)";"largeur"
"Meubles et Décoration";"Emplacement dans la Maison";"emplacement"
"Meubles et Décoration";"Periode";"periode"
"Meubles et Décoration";"Authenticite";"authenticite"
"Meubles et Décoration";"Temps de combustion";"temps_combustion"
"Meubles et Décoration";"Convertible";"convertible"
"Meubles et Décoration";"Fete";"fete"
"Meubles et Décoration";"Nombre de chaises";"nombre_chaises"
"Meubles et Décoration";"Nombre de places";"nombre_places"
"Meubles et Décoration";"Parfum";"parfum"
"Meubles et Décoration";"Housse";"housse"
"Meubles et Décoration";"Senteur";"senteur"
"Meubles et Décoration";"Fermeté";"fermete"
"Meubles et Décoration";"Grille de taille";"grille_taille"
