"Categorie";"Champ spécifique";"Nom Web Service"
"Meubles et Décoration";"Nombre de lattes";"nombre_lattes"
"Meubles et Décoration";"Compatibilité";"compatibilite"
"Meubles et Décoration";"Nombre de ressorts";"nombre_ressort"
"Meubles et Décoration";"Face hiver ete";"face"
"Meubles et Décoration";"Ame";"ame"
"Meubles et Décoration";"Accueil";"effet"
"Meubles et Décoration";"Soutien du dos";"soutien_dos"
"Meubles et Décoration";"Type";"type_1"
"Meubles et Décoration";"Etat 2";"etat"
"Meubles et Décoration";"Origine";"origine"
"Meubles et Décoration";"Poids";"poids"
"Meubles et Décoration";"Densite";"densite"
"Meubles et Décoration";"Revetement";"revetement"
"Meubles et Décoration";"Couchage";"couchage"
"Meubles et Décoration";"Dimension ouvert";"dimension_ouvert"
"Meubles et Décoration";"Epaisseur";"epaisseur"
"Meubles et Décoration";"Assise";"assise"
"Meubles et Décoration";"Dossier";"dossier"
"Meubles et Décoration";"Pliable";"pliable"
"Meubles et Décoration";"Sommier déco";"fonction6"
"Meubles et Décoration";"Gonfleur intégré";"fonction3"
"Meubles et Décoration";"Sommier cuvette";"fonction5"
"Meubles et Décoration";"Fonction relax";"fonction2"
"Meubles et Décoration";"Entretien";"entretien"
"Meubles et Décoration";"Grille de taille";"grille_taille"
"Meubles et Décoration";"Garantie constructeur";"garantie_constructeur"
"Meubles et Décoration";"Garantie Marchand";"garantie_marchand"
"Meubles et Décoration";"Unité des dimensions";"unite_dimensions"
"Meubles et Décoration";"Fermeté";"fermete"
"Meubles et Décoration";"Indépendance de couchage";"independance_couchage"
"Meubles et Décoration";"Style";"style"
"Meubles et Décoration";"Matière du tissu";"matiere_composition"
"Meubles et Décoration";"Convertible";"convertible"
"Meubles et Décoration";"Profondeur";"profondeur"
"Meubles et Décoration";"Forme";"forme"
"Meubles et Décoration";"Allonge";"grande_taille"
"Meubles et Décoration";"Type de mousse";"type3"
"Meubles et Décoration";"Type de ressorts";"type4"
"Meubles et Décoration";"Type de latex";"type2"
"Meubles et Décoration";"Ergonomique";"ergonomique"
"Meubles et Décoration";"Matiere";"matiere"
"Meubles et Décoration";"Caracteristiques";"caracteristiques"
"Meubles et Décoration";"Sous-type";"sous_type"
"Meubles et Décoration";"Lattes apparentes";"fonction4"
"Meubles et Décoration";"Couleur";"couleur"
"Meubles et Décoration";"Longueur (cm)";"longueur"
"Meubles et Décoration";"Taille";"taille"
"Meubles et Décoration";"Marque";"marque"
"Meubles et Décoration";"Categorie";"categorie"
"Meubles et Décoration";"Dimensions";"dimensions"
"Meubles et Décoration";"Impression";"impression"
"Meubles et Décoration";"Epoque";"epoque"
"Meubles et Décoration";"Theme";"theme"
"Meubles et Décoration";"Nombre de pieces";"nombre_pieces"
"Meubles et Décoration";"Public";"public"
"Meubles et Décoration";"Emplacement dans la Maison";"emplacement"
"Meubles et Décoration";"Periode";"periode"
"Meubles et Décoration";"Authenticite";"authenticite"
"Meubles et Décoration";"Temps de combustion";"temps_combustion"
"Meubles et Décoration";"Fete";"fete"
"Meubles et Décoration";"Nombre de chaises";"nombre_chaises"
"Meubles et Décoration";"Nombre de places";"nombre_places"
"Meubles et Décoration";"Parfum";"parfum"
"Meubles et Décoration";"Senteur";"senteur"
"Meubles et Décoration";"Housse";"housse"
"Meubles et Décoration";"Largeur";"largeur_unite_mesure"
"Meubles et Décoration";"Nombre de portes";"nombre_ports"
"Meubles et Décoration";"Nombre de paires";"nombre_paires"
"Meubles et Décoration";"Diamètre";"diametre"
"Meubles et Décoration";"Hauteur";"hauteur_unite_mesure"
