"Couleur";"Couleur precise";"Diametre";"Entretien";"Etat 2";"Fabricant Jante";"Fabricant Pneu";"Garantie constructeur";"Garantie Marchand";"Hauteur";"Indice Charge";"Indice Vitesse";"Largeur";"Longueur";"Manches";"Matiere";"Modele";"Montage";"Nombre Trous";"Position";"Reference";"Structure Jante";"Structure Pneu";"Style";"Taille";"Type";"Vehicule"
"-";"-";"-";"-";"-";"-";"-";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"";"-";"-";"-";"-";"-";"-";"-";"-"
"Argent";"Bleu clair";"10''";"Lavable en machine";"D'occasion";"";"Autre";"";"";"10";"30";"Autre";"1.75";"Autre";"Autre";"Acier";"Other";"TL (Tubeless)";"";"AR (Arriere)";"Other";"A rayons";"Diagonale (-)";"A carreaux";"100";"Autre";"Autre"
"Argente";"Bleu fonce";"11''";"Lavage a la main";"Neuf";"";"Avon";"";"";"10.5";"31";"B:   jusqu'a 50 km/h";"1.75''";"Court";"Debardeur";"Acrylique";"";"TL (tubeless)";"";"AV (Avant)";"";"Autre";"Diagonale ceinturee (xB)";"A motifs";"105";"Bretelles";"Moto"
"Autre";"Gris clair";"12''";"Nettoyage a sec";"Occasion";"";"BKT";"";"";"100";"32";"C:  jusqu'a 60 Km/h";"10";"L28";"Fine Straps";"Aluminium";"";"TT (Tube Type)";"";"";"";"Composite";"Radiale (xR)";"A pinces";"110";"Ceintures";"Pocket Bike"
"Beige";"Gris fonce";"13''";"";"Rechape";"";"Barum";"";"";"11";"33";"D:  jusqu'a 65 Km/h";"10''";"L30";"Manches 3/4";"Angora";"";"TT (tubetype)";"";"";"";"Monobloc";"";"A pois";"115";"Chapeaux";"Quad"
"Blanc";"Marron clair";"14''";"";"";"";"Bridgestone";"";"";"12";"34";"E:  jusqu'a 70 Km/h";"100";"L32";"Manches courtes";"Autre";"";"";"";"";"";"";"";"A rayures";"120";"Chapeaux habilles";"Scooter"
"Blanche";"Marron fonce";"15''";"";"";"";"Cheng Shin";"";"";"12.5";"35";"F:  jusqu'a 80 Km/h";"11";"L34";"Manches longues";"Cachemire";"";"";"";"";"";"";"";"Ample";"125";"Chaussettes";""
"Bleu";"Rose tendre";"16''";"";"";"";"Continental";"";"";"13";"36";"G:  jusqu'a 90 Km/h";"11''";"L36";"Poignets mousquetaires";"Coton";"";"";"";"";"";"";"";"Ample, Loose";"130";"Chemises decontractees";""
"Bleue";"Rose vif";"17''";"";"";"";"Deestone";"";"";"14";"37";"H:  jusqu'a 210 Km/h";"110";"Long";"Sans manches";"Coton, Toile";"";"";"";"";"";"";"";"Autre";"135";"Chemises habillees";""
"Bordeaux";"Vert clair";"18''";"";"";"";"Dunlop";"";"";"25";"38";"J:  jusqu'a 100 Km/h";"115";"Mi-long";"";"Cuir";"";"";"";"";"";"";"";"Baggy";"35-38";"Competition";""
"Dore";"Vert fonce";"19''";"";"";"";"Genac";"";"";"30";"39";"L:  jusqu'a 120 Km/h";"12";"";"";"Cuir synthetique";"";"";"";"";"";"";"";"Bananes";"36";"Costumes";""
"Gris";"";"20''";"";"";"";"Heidenau";"";"";"35";"40";"M:  jusqu'a 130 Km/h";"12''";"";"";"Daim";"";"";"";"";"";"";"";"Berets";"37";"Cravates";""
"Gris Clair";"";"21''";"";"";"";"Hutchinson";"";"";"40";"41";"N:  jusqu'a 140 Km/h";"12.5";"";"";"Denim, Jean";"";"";"";"";"";"";"";"Bermuda";"38";"Cross / TT";""
"Jaune";"";"22''";"";"";"";"IRC Tire";"";"";"50";"42";"P:  jusqu'a 150 Km/h";"12.5''";"";"";"Fibres composites";"";"";"";"";"";"";"";"Blazer";"39";"Cross/TT";""
"Kaki";"";"23''";"";"";"";"Kenda";"";"";"55";"43";"Q:  jusqu'a 160 Km/h";"120";"";"";"Flanelle";"";"";"";"";"";"";"";"Blouson";"39-42";"Echarpes";""
"Marron";"";"4''";"";"";"";"Kyoto";"";"";"580";"44";"R:  jusqu'a 170 Km/h";"1200";"";"";"Impermeable";"";"";"";"";"";"";"";"Bonnets";"40";"Gants";""
"Noir";"";"6''";"";"";"";"Maxxis";"";"";"595";"45";"S:  jusqu'a 180 Km/h";"125";"";"";"Laine";"";"";"";"";"";"";"";"Boxer";"41";"Gilets, Pulls";""
"Or";"";"7''";"";"";"";"Mefo Sport";"";"";"6";"46";"T:  jusqu'a 190 Km/h";"130";"";"";"Laine et soie";"";"";"";"";"";"";"";"Caban";"42";"Jeans";""
"Orange";"";"8''";"";"";"";"Metzeler";"";"";"6.5";"47";"U:  jusqu'a 200 Km/h";"14";"";"";"Lin";"";"";"";"";"";"";"";"Calecon";"43";"Lunettes de soleil";""
"Rose";"";"9''";"";"";"";"Michelin";"";"";"60";"48";"V: jusqu'a 240 Km/h";"14''";"";"";"Materiaux plastiques";"";"";"";"";"";"";"";"Cartables";"43-46";"Lunettes de vue";""
"Rouge";"";"Autre";"";"";"";"Mitas";"";"";"600";"49";"W: jusqu'a 270 Km/h";"14.5";"";"";"Plastique";"";"";"";"";"";"";"";"Casquettes";"44";"Maillots de bain";""
"Turquoise";"";"";"";"";"";"Pirelli";"";"";"620";"50";"Y: jusqu'a 300 Km/h";"14.5''";"";"";"Polaire";"";"";"";"";"";"";"";"Cigarette, Slim";"45";"Manteaux, Vestes";""
"Vert";"";"";"";"";"";"Sava";"";"";"625";"51";"Z: plus de 240 km/h";"140";"";"";"Polyester";"";"";"";"";"";"";"";"Classique";"46";"Pantalons";""
"Violet";"";"";"";"";"";"Shinko";"";"";"63";"52";"";"15";"";"";"Polyester et soie";"";"";"";"";"";"";"";"Col a pattes";"47";"Pocket Bike";""
"";"";"";"";"";"";"Solideal";"";"";"630";"53";"";"15''";"";"";"Satin";"";"";"";"";"";"";"";"Col boutonne";"47-50";"Polos";""
"";"";"";"";"";"";"Vee Rubber";"";"";"640";"54";"";"150";"";"";"Soie";"";"";"";"";"";"";"";"Col casse";"48";"Portefeuilles";""
"";"";"";"";"";"";"";"";"";"645";"55";"";"16";"";"";"Stretch";"";"";"";"";"";"";"";"Col classique";"49";"Quad";""
"";"";"";"";"";"";"";"";"";"65";"56";"";"16''";"";"";"Synthetique";"";"";"";"";"";"";"";"Col evase";"50";"Route classique";""
"";"";"";"";"";"";"";"";"";"67";"57";"";"160";"";"";"Synthetique, Nylon";"";"";"";"";"";"";"";"Col officier, Col Mao";"50/51 (XXS)";"Sacs, Mallettes";""
"";"";"";"";"";"";"";"";"";"7";"58";"";"165";"";"";"Tissus synthetiques";"";"";"";"";"";"";"";"Costume 2 pieces";"52";"Salopettes";""
"";"";"";"";"";"";"";"";"";"70";"59";"";"17";"";"";"Toile, Tissu";"";"";"";"";"";"";"";"Costume 3 pieces";"52/53 (XS)";"Scooter";""
"";"";"";"";"";"";"";"";"";"75";"60";"";"17''";"";"";"Velours";"";"";"";"";"";"";"";"Costume a boutonnage double";"54";"Shorts, Pantacourts";""
"";"";"";"";"";"";"";"";"";"8";"61";"";"170";"";"";"Velours cotele";"";"";"";"";"";"";"";"Culotte de pyjama";"54/55 (S)";"Sous-vetements";""
"";"";"";"";"";"";"";"";"";"80";"62";"";"175";"";"";"Vernis";"";"";"";"";"";"";"";"Debardeur";"56";"Sport";""
"";"";"";"";"";"";"";"";"";"85";"63";"";"18";"";"";"";"";"";"";"";"";"";"";"Doudoune";"56/57 (M)";"T-shirts";""
"";"";"";"";"";"";"";"";"";"88";"64";"";"18''";"";"";"";"";"";"";"";"";"";"";"Droit";"58";"Trail";""
"";"";"";"";"";"";"";"";"";"9";"65";"";"18.5";"";"";"";"";"";"";"";"";"";"";"Duffle-coat";"58/59 (L)";"Vetements de nuit";""
"";"";"";"";"";"";"";"";"";"9.5";"66";"";"18.5''";"";"";"";"";"";"";"";"";"";"";"Ensemble survetement";"60";"Vetements de sport";""
"";"";"";"";"";"";"";"";"";"90";"67";"";"180";"";"";"";"";"";"";"";"";"";"";"Evase";"60/61 (XL)";"";""
"";"";"";"";"";"";"";"";"";"Autre";"68";"";"185";"";"";"";"";"";"";"";"";"";"";"Evase, Boot Cut";"62";"";""
"";"";"";"";"";"";"";"";"";"";"69";"";"19";"";"";"";"";"";"";"";"";"";"";"Fantaisie";"62/63 (XXL)";"";""
"";"";"";"";"";"";"";"";"";"";"70";"";"19''";"";"";"";"";"";"";"";"";"";"";"Fantaisies";"64";"";""
"";"";"";"";"";"";"";"";"";"";"71";"";"190";"";"";"";"";"";"";"";"";"";"";"Gilet";"70";"";""
"";"";"";"";"";"";"";"";"";"";"72";"";"195";"";"";"";"";"";"";"";"";"";"";"Gilet seul";"75";"";""
"";"";"";"";"";"";"";"";"";"";"73";"";"2''";"";"";"";"";"";"";"";"";"";"";"Habillees";"80";"";""
"";"";"";"";"";"";"";"";"";"";"74";"";"2.00";"";"";"";"";"";"";"";"";"";"";"Maillot de corps";"85";"";""
"";"";"";"";"";"";"";"";"";"";"75";"";"2.25";"";"";"";"";"";"";"";"";"";"";"Mallettes";"90";"";""
"";"";"";"";"";"";"";"";"";"";"76";"";"2.25''";"";"";"";"";"";"";"";"";"";"";"Pantacourt";"95";"";""
"";"";"";"";"";"";"";"";"";"";"77";"";"2.5''";"";"";"";"";"";"";"";"";"";"";"Pantalon";"Autre";"";""
"";"";"";"";"";"";"";"";"";"";"78";"";"2.50";"";"";"";"";"";"";"";"";"";"";"Pantalon de costume";"L";"";""
"";"";"";"";"";"";"";"";"";"";"79";"";"2.75";"";"";"";"";"";"";"";"";"";"";"Parka, Coupe-vent";"M";"";""
"";"";"";"";"";"";"";"";"";"";"80";"";"2.75''";"";"";"";"";"";"";"";"";"";"";"Polaire";"S";"";""
