"Categorie";"Champ spécifique";"Nom Web Service"
"Moto : Pièces et Accessoires";"Vehicule";"type_vehicule"
"Moto : Pièces et Accessoires";"Nombre Trous";"nombre_trous"
"Moto : Pièces et Accessoires";"Fabricant Pneu";"fabricant_pneu"
"Moto : Pièces et Accessoires";"Entretien";"entretien"
"Moto : Pièces et Accessoires";"Matiere";"matiere"
"Moto : Pièces et Accessoires";"Taille";"taille"
"Moto : Pièces et Accessoires";"Etat 2";"etat"
"Moto : Pièces et Accessoires";"Couleur precise";"couleur_precise"
"Moto : Pièces et Accessoires";"Style";"style"
"Moto : Pièces et Accessoires";"Couleur";"couleur"
"Moto : Pièces et Accessoires";"Manches";"manches"
"Moto : Pièces et Accessoires";"Modele";"modele"
"Moto : Pièces et Accessoires";"Hauteur";"hauteur"
"Moto : Pièces et Accessoires";"Largeur";"largeur"
"Moto : Pièces et Accessoires";"Diametre";"diametre"
"Moto : Pièces et Accessoires";"Fabricant Jante";"fabricant_jante"
"Moto : Pièces et Accessoires";"Indice Charge";"indice_charge"
"Moto : Pièces et Accessoires";"Indice Vitesse";"indice_vitesse"
"Moto : Pièces et Accessoires";"Reference";"reference"
"Moto : Pièces et Accessoires";"Type";"type_1"
"Moto : Pièces et Accessoires";"Garantie constructeur";"garantie_constructeur"
"Moto : Pièces et Accessoires";"Garantie Marchand";"garantie_marchand"
"Moto : Pièces et Accessoires";"Montage";"montage"
"Moto : Pièces et Accessoires";"Position";"position"
"Moto : Pièces et Accessoires";"Structure Jante";"structure_jante"
"Moto : Pièces et Accessoires";"Structure Pneu";"structure_pneu"
"Moto : Pièces et Accessoires";"Longueur";"longueur"
