"Categorie";"Champ spécifique";"Nom Web Service"
"Musique CD";"Sous-genre";"sous_genre"
"Musique CD";"Lot";"lot"
"Musique CD";"Artiste";"artiste"
"Musique CD";"Compilation";"compilation"
"Musique CD";"Label";"label"
"Musique CD";"Titre 2";"titre"
"Musique CD";"Date de parution";"date_parution"
"Musique CD";"Code UPC ";"code_upc"
"Musique CD";"Vitesse";"vitesse"
"Musique CD";"Packaging";"packaging"
"Musique CD";"Format";"format_1"
"Musique CD";"Genre";"genre"
"Musique CD";"Etat 2";"etat"
"Musique CD";"Garantie constructeur";"garantie_constructeur"
"Musique CD";"Garantie Marchand";"garantie_marchand"
