"Categorie";"Champ spécifique";"Nom Web Service"
"Ordinateurs et Ecrans";"Etat 2";"etat"
"Ordinateurs et Ecrans";"Resolution ecran (pixel)";"resolution_ecran_pixel"
"Ordinateurs et Ecrans";"Haut-Parleurs";"haut_parleur"
"Ordinateurs et Ecrans";"Interface";"interface"
"Ordinateurs et Ecrans";"Taille d'ecran";"taille_ecran"
"Ordinateurs et Ecrans";"Rétro éclairage LED";"eclairage"
"Ordinateurs et Ecrans";"Temps de réponse 
(en ms)";"FulfillmentLatency"
"Ordinateurs et Ecrans";"Contraste";"contraste"
"Ordinateurs et Ecrans";"Format large";"format"
"Ordinateurs et Ecrans";"Connectique";"connectique"
"Ordinateurs et Ecrans";"Type de memoire";"type_memoire"
"Ordinateurs et Ecrans";"Marque";"marque"
"Ordinateurs et Ecrans";"Titre 2";"titre"
"Ordinateurs et Ecrans";"Modele";"modele"
"Ordinateurs et Ecrans";"Plateforme";"plateforme"
"Ordinateurs et Ecrans";"Numero de serie";"numero_serie"
"Ordinateurs et Ecrans";"Constructeur";"constructeur"
"Ordinateurs et Ecrans";"Gamme";"gamme"
"Ordinateurs et Ecrans";"Composants";"composants"
"Ordinateurs et Ecrans";"Frequence de rafraichissement maximale (Hz)";"frequence_rafraichissement"
"Ordinateurs et Ecrans";"Lecteur";"lecteur"
"Ordinateurs et Ecrans";"Systeme d'exploitation";"systeme_exploitation"
"Ordinateurs et Ecrans";"Type";"type_1"
"Ordinateurs et Ecrans";"Nombre de processeurs";"nombre_processeurs"
"Ordinateurs et Ecrans";"Vitesse du processeur";"vitesse_processeur"
"Ordinateurs et Ecrans";"Couleur";"couleur"
"Ordinateurs et Ecrans";"Mémoire carte graphique (en Mo)";"capacite"
"Ordinateurs et Ecrans";"Format du boîtier";"format"
"Ordinateurs et Ecrans";"Usage de l'ordinateur";"usage"
"Ordinateurs et Ecrans";"Type de carte graphique";"type"
"Ordinateurs et Ecrans";"Poids";"poids"
"Ordinateurs et Ecrans";"Garantie constructeur";"garantie_constructeur"
"Ordinateurs et Ecrans";"Garantie Marchand";"garantie_marchand"
"Ordinateurs et Ecrans";"Memoire (RAM)";"memoire_ram"
"Ordinateurs et Ecrans";"Capacite du disque dur (Go)";"capacite_disque_dur_go"
"Ordinateurs et Ecrans";"Processeur";"processeur"
