"Categorie";"Champ spécifique";"Nom Web Service"
"Périphériques, Accessoires et Composants PC";"Vitesse d'ecriture CD";"vitesse_ecriture_cd"
"Périphériques, Accessoires et Composants PC";"Application";"application"
"Périphériques, Accessoires et Composants PC";"Type de boitier";"type_boitier"
"Périphériques, Accessoires et Composants PC";"Type de capteur";"type_capteur"
"Périphériques, Accessoires et Composants PC";"Largeur";"largeur"
"Périphériques, Accessoires et Composants PC";"Connectique";"connectique"
"Périphériques, Accessoires et Composants PC";"Nombre de ports";"nombre_ports"
"Périphériques, Accessoires et Composants PC";"Systeme d'exploitation";"systeme_exploitation"
"Périphériques, Accessoires et Composants PC";"Format";"format_1"
"Périphériques, Accessoires et Composants PC";"Type";"type_1"
"Périphériques, Accessoires et Composants PC";"Chipset";"chipset"
"Périphériques, Accessoires et Composants PC";"Type de connecteur";"type_connecteur"
"Périphériques, Accessoires et Composants PC";"Facteur de forme";"facteur_forme"
"Périphériques, Accessoires et Composants PC";"Nombre de prises";"nombre_prises"
"Périphériques, Accessoires et Composants PC";"Packaging";"packaging"
"Périphériques, Accessoires et Composants PC";"Vitesse de rotation";"vitesse"
"Périphériques, Accessoires et Composants PC";"Replicateur de port";"replicateur_port"
"Périphériques, Accessoires et Composants PC";"Forme ergonomique";"forme_ergonomique"
"Périphériques, Accessoires et Composants PC";"Etat 2";"etat"
"Périphériques, Accessoires et Composants PC";"Materiau";"matiere"
"Périphériques, Accessoires et Composants PC";"Couleur";"couleur"
"Périphériques, Accessoires et Composants PC";"Marque";"marque"
"Périphériques, Accessoires et Composants PC";"Titre 2";"titre"
"Périphériques, Accessoires et Composants PC";"Modele";"modele"
"Périphériques, Accessoires et Composants PC";"Plateforme";"plateforme"
"Périphériques, Accessoires et Composants PC";"Type 2";"type2"
"Périphériques, Accessoires et Composants PC";"Sous-type ";"sous_type"
"Périphériques, Accessoires et Composants PC";"Accessoire";"accessoires"
"Périphériques, Accessoires et Composants PC";"Sous-format";"sous_format"
"Périphériques, Accessoires et Composants PC";"Capacite";"capacite"
"Périphériques, Accessoires et Composants PC";"Constructeur";"constructeur"
"Périphériques, Accessoires et Composants PC";"RAM compatible";"type_memoire"
"Périphériques, Accessoires et Composants PC";"Type de souris";"type_souris"
"Périphériques, Accessoires et Composants PC";"Frequence memoire (MHz)";"frequence_memoire"
"Périphériques, Accessoires et Composants PC";"Vitesse d'ecriture DVD";"vitesse_ecriture_dvd"
"Périphériques, Accessoires et Composants PC";"Interface";"interface"
"Périphériques, Accessoires et Composants PC";"Type de cable";"type_cable"
"Périphériques, Accessoires et Composants PC";"Type d'adapteur";"type_adapteur"
"Périphériques, Accessoires et Composants PC";"Branchement";"branchement"
"Périphériques, Accessoires et Composants PC";"Puissance (W)";"puissance"
"Périphériques, Accessoires et Composants PC";"Technologie";"technologie"
"Périphériques, Accessoires et Composants PC";"Taille de l'ecran";"taille_ecran"
"Périphériques, Accessoires et Composants PC";"Capacite du disque dur (Go)";"capacite_disque_dur"
"Périphériques, Accessoires et Composants PC";"Options";"options"
"Périphériques, Accessoires et Composants PC";"Resolution video (pixels)";"resolution_pixels"
"Périphériques, Accessoires et Composants PC";"Norme";"norme"
"Périphériques, Accessoires et Composants PC";"Longueur";"longueur"
"Périphériques, Accessoires et Composants PC";"Bluetooth";"bluetooth"
"Périphériques, Accessoires et Composants PC";"Alimentation";"alimentation"
"Périphériques, Accessoires et Composants PC";"Niveau sonore";"niveau_sonore"
"Périphériques, Accessoires et Composants PC";"Dimensions";"dimensions"
"Périphériques, Accessoires et Composants PC";"Débit d'air";"debit_dair"
"Périphériques, Accessoires et Composants PC";"Garantie constructeur";"garantie_constructeur"
"Périphériques, Accessoires et Composants PC";"Garantie Marchand";"garantie_marchand"
"Périphériques, Accessoires et Composants PC";"Memoire (RAM)";"memoire_ram"
"Périphériques, Accessoires et Composants PC";"Type de systeme";"type_systeme"
"Périphériques, Accessoires et Composants PC";"Processeur";"processeur"
"Périphériques, Accessoires et Composants PC";"Memoire cache de niveau 2";"memoire_cache_2"
"Périphériques, Accessoires et Composants PC";"Bus (FSB)";"bus"
"Périphériques, Accessoires et Composants PC";"Frequence Processeur";"frequence_processeur"
"Périphériques, Accessoires et Composants PC";"Connecteur";"connecteur"
"Périphériques, Accessoires et Composants PC";"Compatibilite";"compatibilite"
"Périphériques, Accessoires et Composants PC";"Images par seconde";"images_seconde"
"Périphériques, Accessoires et Composants PC";"Type de clavier";"type_clavier"
