"Accessoire";"Alimentation";"Application";"Bluetooth";"Branchement";"Bus (FSB)";"Capacite";"Capacite du disque dur (Go)";"Chipset";"Compatibilite";"Connecteur";"Connectique";"Constructeur";"Couleur";"Débit d'air";"Dimensions";"Etat 2";"Facteur de forme";"Format";"Forme ergonomique";"Frequence memoire (MHz)";"Frequence Processeur";"Garantie constructeur";"Garantie Marchand";"Images par seconde";"Interface";"Largeur";"Longueur";"Marque";"Materiau";"Memoire cache de niveau 2";"Memoire (RAM)";"Modele";"Niveau sonore";"Nombre de ports";"Nombre de prises";"Norme";"Options";"Packaging";"Plateforme";"Processeur";"Puissance (W)";"RAM compatible";"Replicateur de port";"Resolution video (pixels)";"Sous-format";"Sous-type ";"Systeme d'exploitation";"Taille de l'ecran";"Technologie";"Titre 2";"Type";"Type 2";"Type d'adapteur";"Type de boitier";"Type de cable";"Type de capteur";"Type de clavier";"Type de connecteur";"Type de souris";"Type de systeme";"Vitesse d'ecriture CD";"Vitesse d'ecriture DVD";"Vitesse de rotation"
"-";"";"-";"";"-";"";"-";"-";"-";"-";"-";"-";"-";"-";"";"";"-";"-";"-";"-";"";"-";"";"";"";"-";"";"";"-";"-";"-";"-";"-";"";"-";"-";"-";"Balance des blancs automatique";"Emballe";"-";"-";"-";"-";"Autre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Antenne";"-";"Alimentation";"-";"-";"AGP";"-";"-";"-";"-";""
"Adaptateur";"";"Ordinateur de bureau";"";"Autre";"";"1000 mAh et moins";"De 1 a 10";"AMD";"Acer";"Autre";"2xD-Sub";"3Dlabs";"Argente";"";"";"Neuf";"ATX";"Autre";"Droitier";"";"3,5 GHz ou plus";"";"";"";"AGP";"";"";"3Com";"Aluminum";"Autre";"1";"All-in-Wonder";"";"1";"1";"802.11a";"Bouton marche/arret integre";"";"3DO";"68000";"De 1000 a 2999";"3D-RAM";"Entree, sortie audio";"1024x768";"Autre";"A clef";"All Windows Server Versions 2000";"De 13 a 14";"A condensateur";"Autre";"AT";"1 Go";"Autre";"Externe";"Antenne TV";"CCD";"Autre";"Autre";"Autre";"Autre";"10X";"10X";""
"Adaptateur jack";"";"Ordinateur portable";"";"Entrees, Sorties audio";"";"2000 mAh";"De 101 a 120";"ATI";"Apple";"Slot 1";"Autre";"3dfx";"Autre";"";"";"Occasion";"Autre";"CF II, Microdrive";"Droitier + Gaucher";"";"De 1 a 1,49 GHz";"";"";"";"ATA-33";"";"";"3Dlabs";"Autre";"";"1 Go";"Autre";"";"2";"10";"802.11b";"Bouton photo";"";"Apple";"68040";"De 300 a 399";"72-Pin EDO SIMM Memory";"Entree, sortie video";"1280x1024";"Duo";"A code";"Autre";"De 15 a 16";"Autre";"Other";"ATX";"128 Mo";"BNC";"Interne";"Audio";"CMOS";"Ergonomique";"Ethernet RJ45";"Laser";"Ordinateur de bureau";"12X";"12X";""
"Autre";"";"Serveur, Station";"";"Femelle - Femelle";"";"3000 mAh";"De 11 a 40";"Autre";"Autre";"Slot 2";"Avec fil";"AMD";"Beige";"";"";"Reconditionne";"BTX";"CompactFlash I";"Gaucher";"";"De 1,5 a 1,99 GHz";"";"";"";"ATA-66";"";"";"3Ware";"Cuir";"";"1000";"DS";"";"3";"2";"802.11g";"Casque pliable";"";"Atari";"68EZ328";"De 3000 a 6000";"Autre";"Ethernet";"1280x1084";"Pro";"Antenne";"BeOS";"De 17 a 19";"Dynamique";"Other (specify in Description)";"Accessoire";"16 Mo";"DVI";"Module plug-in (portable)";"Autre";"VGA";"Flexible";"Firewire";"Magnetique";"Ordinateur portable";"16X";"16X";""
"Bonnette";"";"";"";"FireWire";"";"4000 mAh";"De 121 a 160";"Intel";"Canon";"Slot 3";"D-Sub";"ASUS";"Blanc";"";"";"";"E-ATX";"Memory Stick";"";"";"De 2 a 2,49 GHz";"";"";"";"ATA100";"";"";"A+ Case";"Cuir synthetique";"";"12";"DS Lite";"";"4";"3";"802.11n";"Controle du volume";"";"Autre";"68LC040";"De 400 a 499";"DDR II SDRAM";"Modem";"1280x720";"Pro Duo";"Autre";"CPM";"De 8 a 12";"Lithium-ion";"";"Accessoires";"2 Go";"FireWire";"Proprietaire";"Clavier PS2";"";"Mini-clavier";"Line-In";"Mecanique";"";"20X";"18X";""
"Cable";"";"";"";"Male - Femelle";"";"5000 mAh";"De 161 a 200";"NVIDIA";"Compaq";"Slot A";"DVI";"ATI";"Bleu";"";"";"";"Flex ATX";"MultiMedia";"";"";"De 2,5 a 2,99 GHz";"";"";"";"ATA133";"";"";"A-Data";"Mousse";"";"128";"Dreamcast";"";"5";"4";"ATA";"Controle muet";"";"Colecovision";"8032";"De 500 a 999";"DDR SDRAM";"PS/2";"1280x960";"Standard";"Baybus";"DOS";"Moins de 8";"NIMH";"";"Adaptateur";"256 Mo";"HDMI";"";"Coaxial";"";"Pour portable";"Line-Out";"Mini";"";"24X";"1X";""
"Cable IEEE 1394";"";"";"";"Male - Male";"";"6000 mAh";"De 201 a 300";"ServerWorks";"Dell";"Socket 1";"DVI-I";"Abit";"Bordeaux";"";"";"";"Micro AT";"Ordinateur de bureau";"";"";"De 3 a 3,5 GHz";"";"";"";"Autre";"";"";"A4TECH";"Nylon";"";"16";"Famicom";"";"6";"5";"Autre";"Cordon asymetrique";"";"Commodore";"80386";"Moins de 300";"DDR SO-DIMM";"Parallele";"1600x1200";"";"Blu-ray";"LindowsOS";"Plus de 19";"";"";"Adaptateur chargeur";"32 Mo";"IDE";"";"DVI";"";"Standard";"Microphone";"Optique";"";"2X";"2,4X";""
"Cable USB-miniUSB";"";"";"";"USB";"";"7000 mAh";"De 301 a 500";"SiS";"Fujitsu Siemens";"Socket 2";"Dual-DVI";"Albatron";"Bronze";"";"";"";"Micro ATX";"Ordinateur portable";"";"";"Moins de 1 GHz";"";"";"";"Bluetooth";"";"";"AKG";"Plastique";"";"16 Go";"FireGL";"";"7";"6";"Fibre Channel";"Detection de mouvement integree";"";"Intellivision";"80486";"Moins de 500";"DDR-2 SDRAM";"Serie";"160x112";"";"Bluetooth";"Linux";"";"";"";"Adaptateur de carte";"4 Go";"Jack 2.5";"";"Ecran";"";"";"PCI";"Pro Game, pour joueurs";"";"32X";"20X";""
"Cable d'extension";"";"";"";"";"";"8000 mAh et plus";"De 41 a 60";"VIA";"Gateway";"Socket 3";"Express Card";"Aopen";"Dore";"";"";"";"Micro BTX";"Secure Digital";"";"";"";"";"";"";"Compact Flash";"";"";"APC";"Polyester";"";"16000";"G450";"";"8";"7";"FireWire";"Exposition automatique";"";"Linux";"80C31";"Plus de 499";"DDR-DRAM";"Sortie ecran VGA,DVI";"160x120";"";"CD-R";"Mac OS 9.X";"";"";"";"Antivol";"4 Mo";"Jack 3.5";"";"Ethernet";"";"";"PCI Express";"Trackball, boule de commande";"";"36X";"2X";""
"Cable rallonge USB";"";"";"";"";"";"";"De 501 a 700";"";"HP";"Socket 370";"Filaire";"Autre";"Gris";"";"";"";"Mini ATX";"SmartMedia";"";"";"";"";"";"";"DMA/ATA";"";"";"APM";"Toile";"";"18";"G550";"";"Autre";"8";"IDE";"Filtrage de bruits de fond";"";"Mac";"AMD Athlon";"Plus de 6000";"DDR-SDRAM";"USB";"160x144";"";"CD-RW";"Mac OS X";"";"";"";"Arceau serre-tete";"512 Mo";"Jack 6.5";"";"Fibre Optique";"";"";"Parallele";"";"";"3X";"4X";""
