"Categorie";"Champ spécifique";"Nom Web Service"
"PDA et GPS";"Affichage";"affichage"
"PDA et GPS";"Marque";"marque"
"PDA et GPS";"Utilisation";"domaine_utilisation"
"PDA et GPS";"Titre 2";"titre"
"PDA et GPS";"Modele";"modele"
"PDA et GPS";"Accessoire";"accessoires"
"PDA et GPS";"Sous-format";"sous_format"
"PDA et GPS";"Type de memoire";"type_memoire"
"PDA et GPS";"Taille de l'ecran";"taille_ecran"
"PDA et GPS";"Options";"options"
"PDA et GPS";"Nombre de canaux";"nombre_canaux"
"PDA et GPS";"Resolution ecran (pixel)";"resolution_ecran_pixel"
"PDA et GPS";"Composants";"composants"
"PDA et GPS";"Memoire (RAM)";"memoire_ram"
"PDA et GPS";"Compatibilite";"compatibilite"
"PDA et GPS";"Hauteur de l'unite";"hauteur"
"PDA et GPS";"Antenne";"antenne"
"PDA et GPS";"Profondeur unite";"profondeur"
"PDA et GPS";"Largeur de l'unite";"largeur"
"PDA et GPS";"Serie PDA";"serie"
"PDA et GPS";"Systeme d'exploitation";"systeme_exploitation"
"PDA et GPS";"Format";"format_1"
"PDA et GPS";"Type";"type_1"
"PDA et GPS";"Bluetooth";"bluetooth"
"PDA et GPS";"Pays";"pays"
"PDA et GPS";"Temps réel";"type2"
"PDA et GPS";"Radar";"fonctions"
"PDA et GPS";"Garantie constructeur";"garantie_constructeur"
"PDA et GPS";"Garantie Marchand";"garantie_marchand"
"PDA et GPS";"Vitesse du processeur";"vitesse_processeur"
"PDA et GPS";"Processeur";"processeur"
"PDA et GPS";"Etat 2";"etat"
