"Categorie";"Champ spécifique";"Nom Web Service"
"Photo et Vidéo";"Type de focale";"type_focale"
"Photo et Vidéo";"Diametre (mm)";"diametre"
"Photo et Vidéo";"Type de filtre";"type_filtre"
"Photo et Vidéo";"Type";"type_1"
"Photo et Vidéo";"Etat 2";"etat"
"Photo et Vidéo";"Marque";"marque"
"Photo et Vidéo";"Titre 2";"titre"
"Photo et Vidéo";"Dimension (Pouces)";"dimensions"
"Photo et Vidéo";"Poids";"poids"
"Photo et Vidéo";"Zoom optique";"zoom_optique"
"Photo et Vidéo";"Kits groupes";"kits_groupes"
"Photo et Vidéo";"Modele";"modele"
"Photo et Vidéo";"Accessoires";"accessoires"
"Photo et Vidéo";"Caracteristiques";"caracteristiques"
"Photo et Vidéo";"Numero de serie";"numero_serie"
"Photo et Vidéo";"Sous-format";"sous_format"
"Photo et Vidéo";"Capacite";"capacite"
"Photo et Vidéo";"Format de la carte memoire";"memoire_compatible"
"Photo et Vidéo";"Type de cable";"type_cable"
"Photo et Vidéo";"Type d'adapteur";"type_adapteur"
"Photo et Vidéo";"Branchement";"branchement"
"Photo et Vidéo";"Taille ecran";"taille_ecran"
"Photo et Vidéo";"Objectif";"objectif"
"Photo et Vidéo";"Format de film";"format_film"
"Photo et Vidéo";"Exposition";"exposition"
"Photo et Vidéo";"Mise au point";"mise_point"
"Photo et Vidéo";"Ouverture maximale";"ouverture_maximale"
"Photo et Vidéo";"Type d'objectif";"type_objectif"
"Photo et Vidéo";"Type d'appareil photo";"type_appareil_photo"
"Photo et Vidéo";"Type de focus";"type_focus"
"Photo et Vidéo";"Ports";"ports"
"Photo et Vidéo";"Garantie";"garantie"
"Photo et Vidéo";"Gamme";"gamme"
"Photo et Vidéo";"Type d'appareil numerique";"type_appareil_numerique"
"Photo et Vidéo";"Zoom numerique";"zoom_numerique"
"Photo et Vidéo";"Type de batterie";"type_batterie"
"Photo et Vidéo";"Garantie constructeur";"garantie_constructeur"
"Photo et Vidéo";"Garantie Marchand";"garantie_marchand"
"Photo et Vidéo";"Marque de l'objectif";"marque_objectif"
"Photo et Vidéo";"Options";"options"
"Photo et Vidéo";"Type de prisme";"type_prisme"
"Photo et Vidéo";"Format";"format_1"
"Photo et Vidéo";"Memoire integree";"memoire_integree"
"Photo et Vidéo";"Resolution (Pixels)";"resolution_pixels"
"Photo et Vidéo";"Resolution Max (Megapixels)";"resolution"
"Photo et Vidéo";"Cartes memoires gerees ";"cartes_memoires"
"Photo et Vidéo";"Type de flash";"type_flash"
