"Etat 2";"Garantie constructeur";"Garantie Marchand";"Interface";"Marque";"Marque de processeur";"Memoire (RAM)";"Nombre de port RJ45";"Options";"Processeur";"Sous-type";"Standard WLAN";"Titre 2";"Type";"Type de memoire";"Vitesse du processeur"
"-";"";"";"Autre";"-";"-";"-";"";"Fax";"-";"Antenne";"";"";"-";"-";"-"
"Neuf";"";"";"Bluetooth";"3Com";"AMD";"Au moins 1 Go";"";"Firewall";"Athlon";"Autre";"";"";"Autre";"Autre";"De 1 a 1,9"
"Occasion";"";"";"Compact Flash";"9Telecom";"Autre";"Au moins 1,5 Go";"";"Serveur d'impression";"Athlon 64";"Bluetooth";"";"";"Commutateur Ethernet";"DDR SDRAM";"De 2 a 2,9"
"";"";"";"Courant porteur";"Abix";"Intel";"Au moins 128 Mo";"";"Support DHCP";"Athlon 64 X2";"Cle USB reseau";"";"";"Commutateur Fibre Channel";"DDR2 SDRAM";"De 3 a 4"
"";"";"";"Ethernet";"Acer";"";"Au moins 2,0 Go";"";"TV";"Athlon XP";"Sans-fil";"";"";"Commutateur WLAN (LAN sans fil)";"EDO";"Moins de 1"
"";"";"";"Expansion Slot";"Adaptec";"";"Au moins 2,5 Go";"";"VoIP";"Autre";"Wi-Fi";"";"";"Commutateur modulaire";"RDRAM (Rambus DRAM)";"Plus de 4"
"";"";"";"Fibre optique";"Advance";"";"Au moins 256 Mo";"";"";"Celeron";"";"";"";"Commutateur parallele";"SDR SDRAM";""
"";"";"";"Firewire";"Alcatel";"";"Au moins 4 Go";"";"";"Celeron D";"";"";"";"Commutateur serie";"";""
"";"";"";"GBIC";"Alice";"";"Au moins 512 Mo";"";"";"Celeron M";"";"";"";"Concentrateur Ethernet";"";""
"";"";"";"MIMO";"Allied Telesyn";"";"Au moins 8 Go";"";"";"Core 2 Duo";"";"";"";"Concentrateur Fibre Channel";"";""
"";"";"";"Mini PCI-E";"Antec";"";"Moins de 128 Mo";"";"";"Core Duo";"";"";"";"Concentrateur serie";"";""
"";"";"";"Mini-GBIC";"Assmann";"";"";"";"";"Dual Core Opteron";"";"";"";"Externe";"";""
"";"";"";"Mini-PCI";"Asus";"";"";"";"";"Dual Core Xeon";"";"";"";"Interne";"";""
"";"";"";"PCI";"Autre";"";"";"";"";"Duron";"";"";"";"Modem";"";""
"";"";"";"PCI-E";"Avocent";"";"";"";"";"Geode";"";"";"";"Modem routeur";"";""
"";"";"";"PCI-X";"Axis Communications";"";"";"";"";"Opteron";"";"";"";"Module enfichable";"";""
"";"";"";"PCMCIA";"Belkin";"";"";"";"";"Pentium";"";"";"";"Routeur";"";""
"";"";"";"SCSI";"Bewan";"";"";"";"";"Pentium 4";"";"";"";"";"";""
