"Categorie";"Champ spécifique";"Nom Web Service"
"Réseaux, Serveurs";"Interface";"interface"
"Réseaux, Serveurs";"Options";"options"
"Réseaux, Serveurs";"Nombre de port RJ45";"nombre_port_rj45"
"Réseaux, Serveurs";"Marque de processeur";"constructeur"
"Réseaux, Serveurs";"Garantie constructeur";"garantie_constructeur"
"Réseaux, Serveurs";"Garantie Marchand";"garantie_marchand"
"Réseaux, Serveurs";"Processeur";"processeur"
"Réseaux, Serveurs";"Etat 2";"etat"
"Réseaux, Serveurs";"Marque";"marque"
"Réseaux, Serveurs";"Titre 2";"titre"
"Réseaux, Serveurs";"Sous-type";"sous_type"
"Réseaux, Serveurs";"Type de memoire";"type_memoire"
"Réseaux, Serveurs";"Memoire (RAM)";"memoire_ram"
"Réseaux, Serveurs";"Vitesse du processeur";"vitesse_processeur"
"Réseaux, Serveurs";"Standard WLAN";"standard_wlan"
"Réseaux, Serveurs";"Type";"type_1"
