"Categorie";"Champ spécifique";"Nom Web Service"
"TV Son Cinéma";"Type";"type_1"
"TV Son Cinéma";"Platine CD";"platine_cd"
"TV Son Cinéma";"Matiere";"matiere"
"TV Son Cinéma";"Style";"style"
"TV Son Cinéma";"Couleur";"couleur"
"TV Son Cinéma";"Origine";"origine"
"TV Son Cinéma";"Sous-type";"sous_type"
"TV Son Cinéma";"Periode";"periode"
"TV Son Cinéma";"Nombre de tetes";"nombre_tetes"
"TV Son Cinéma";"Son surround";"son_surround"
"TV Son Cinéma";"Modele";"modele"
"TV Son Cinéma";"Fonctionnalites";"fonctionnalites"
"TV Son Cinéma";"Accessoires fournis";"accessoires"
"TV Son Cinéma";"Options";"options"
"TV Son Cinéma";"Support compatible";"support_compatible"
"TV Son Cinéma";"Caracteristiques";"caracteristiques"
"TV Son Cinéma";"Capacite";"capacite"
"TV Son Cinéma";"Constructeur";"constructeur"
"TV Son Cinéma";"Connectique";"connectique"
"TV Son Cinéma";"Type de memoire";"type_memoire"
"TV Son Cinéma";"Memoire compatible";"memoire_compatible"
"TV Son Cinéma";"PC-Interface";"interface"
"TV Son Cinéma";"Type d'ecran";"type_ecran"
"TV Son Cinéma";"Type de cable";"type_cable"
"TV Son Cinéma";"Bluetooth";"bluetooth"
"TV Son Cinéma";"Poids admissible max (en kg)";"poids"
"TV Son Cinéma";"Compatible 3D";"affichage"
"TV Son Cinéma";"TV Connectée";"norme_reseau"
"TV Son Cinéma";"Garantie constructeur";"garantie_constructeur"
"TV Son Cinéma";"Garantie Marchand";"garantie_marchand"
"TV Son Cinéma";"Formats compatibles";"format_1"
"TV Son Cinéma";"Puissance des enceintes principales (Watts)";"puissance_enceintes"
"TV Son Cinéma";"HDMI";"hdmi"
"TV Son Cinéma";"TNT";"tnt"
"TV Son Cinéma";"TNT HD";"tnt_hd"
"TV Son Cinéma";"Frequence de balayage";"frequency"
"TV Son Cinéma";"Etat 2";"etat"
"TV Son Cinéma";"Marque";"marque"
"TV Son Cinéma";"Titre 2";"titre"
"TV Son Cinéma";"Systeme";"systeme"
"TV Son Cinéma";"Type d'adapteur";"type_adapteur"
"TV Son Cinéma";"Branchement";"branchement"
"TV Son Cinéma";"Puissance (W)";"puissance"
"TV Son Cinéma";"Nombre d'enceintes";"nombre_enceintes"
"TV Son Cinéma";"Mode";"mode"
"TV Son Cinéma";"Standard";"standard"
"TV Son Cinéma";"Format de l'image";"format_image"
"TV Son Cinéma";"Technologie";"technologie"
"TV Son Cinéma";"Taille de l'ecran (cm)";"taille_ecran"
"TV Son Cinéma";"Code region";"code_region"
"TV Son Cinéma";"Capacite du disque dur (Go)";"capacite_disque_dur"
"TV Son Cinéma";"Nombre de canaux";"nombre_canaux"
"TV Son Cinéma";"Platine cassette";"platine_cassette"
"TV Son Cinéma";"Resolution";"resolution"
"TV Son Cinéma";"Alimentation";"alimentation"
"TV Son Cinéma";"Tuner";"tuner"
"TV Son Cinéma";"Niveau Sonore (dB)";"niveau_sonore"
"TV Son Cinéma";"Duree de Vie de la Lampe (h)";"duree_vie_lampe"
"TV Son Cinéma";"Luminosite";"luminosite"
"TV Son Cinéma";"HD Ready";"hd_ready"
"TV Son Cinéma";"Contraste";"contraste"
