"Categorie";"Champ spécifique";"Nom Web Service"
"Vêtements";"Taille";"taille"
"Vêtements";"Type de bas";"type_bas"
"Vêtements";"Style";"style"
"Vêtements";"Matiere";"matiere"
"Vêtements";"Domaine d'utilisation";"domaine_utilisation"
"Vêtements";"Saison";"saison"
"Vêtements";"Forme";"forme"
"Vêtements";"Stature";"stature"
"Vêtements";"Repassage facile";"repassage_facile"
"Vêtements";"Modèle";"modele"
"Vêtements";"Tour de cou";"tour_cou"
"Vêtements";"Public";"public"
"Vêtements";"Etat 2";"etat"
"Vêtements";"Entretien";"entretien"
"Vêtements";"Manches";"manches"
"Vêtements";"Categorie";"categorie"
"Vêtements";"Sexe";"sexe"
"Vêtements";"Année";"annee"
"Vêtements";"Grille de taille";"grille_taille"
"Vêtements";"Sport";"type_sport"
"Vêtements";"Anti odeur";"anti_odeur"
"Vêtements";"Anti dérapante";"anti_derapante"
"Vêtements";"Anti ampoules";"anti_ampoules"
"Vêtements";"Renforts talon et pointes";"renforts"
"Vêtements";"Garantie constructeur";"garantie_constructeur"
"Vêtements";"Garantie Marchand";"garantie_marchand"
"Vêtements";"Finition";"finition"
"Vêtements";"Pointes du col libres";"fonction2"
"Vêtements";"Astuce";"astuce"
"Vêtements";"Couleur";"couleur"
"Vêtements";"Matière externe";"matiere_externe"
"Vêtements";"Matière interne";"matiere_interne"
"Vêtements";"Composition matière";"matiere_composition"
"Vêtements";"Parties amovibles";"amovible"
"Vêtements";"Couleur générique";"couleur_precise"
"Vêtements";"Type";"type_1"
"Vêtements";"Type de manche";"type3"
"Vêtements";"Marque Fabricant";"marque_fabricant"
"Vêtements";"Coupe du vêtement";"coupe"
"Vêtements";"Caractéristiques";"caracteristiques"
"Vêtements";"Boutons de manchettes";"boutons_manchettes"
"Vêtements";"Taille générique";"taille_ligne"
"Vêtements";"Maternité";"maternite"
"Vêtements";"Gainant";"gaine"
"Vêtements";"Article de sport";"article_sport"
"Vêtements";"Type de col";"type2"
"Vêtements";"Armature";"armature"
"Vêtements";"Bretelle";"bretelle"
"Vêtements";"Grande taille";"grande_taille"
"Vêtements";"Transparence";"transparence"
"Vêtements";"Maintien";"maintien"
"Vêtements";"Longueur de manche";"longueur_manche"
"Vêtements";"Type de haut";"type_haut"
"Vêtements";"Motif";"motif"
"Vêtements";"Vendu par lot";"lot"
"Vêtements";"Pointes du col boutonnées";"fonction3"
"Vêtements";"Hypoallergénique";"hypoallergenique"
"Vêtements";"Morphologie";"morphologie"
"Vêtements";"Longueur de jambe";"longueur_jambe"
"Vêtements";"Epaisseur vêtement";"epaisseur"
"Vêtements";"Usage";"usage"
"Vêtements";"Effet matière";"effet"
"Vêtements";"Coordonnable";"fonction4"
"Vêtements";"Tour de poitrine";"tour_poitrine"
"Vêtements";"Bonnet";"bonnet"
"Vêtements";"Thème";"theme"
"Vêtements";"Fermeture";"fermeture"
"Vêtements";"Tranche d'âge";"fonction5"
"Vêtements";"Sous-type";"sous_type"
"Vêtements";"Hauteur";"hauteur_unite_mesure"
"Vêtements";"Longueur produit";"longueur_unite_mesure"
