"Categorie";"Champ spécifique";"Nom Web Service"
"Vêtements";"Année";"annee"
"Vêtements";"Type";"type_1"
"Vêtements";"Etat 2";"etat"
"Vêtements";"Matiere";"matiere"
"Vêtements";"Taille";"taille"
"Vêtements";"Style";"style"
"Vêtements";"Couleur";"couleur"
"Vêtements";"Entretien";"entretien"
"Vêtements";"Longueur produit";"longueur"
"Vêtements";"Manches";"manches"
"Vêtements";"Bonnet";"bonnet"
"Vêtements";"Type de haut";"type_haut"
"Vêtements";"Type de bas";"type_bas"
"Vêtements";"Categorie";"categorie"
"Vêtements";"Public";"public"
"Vêtements";"Saison";"saison"
"Vêtements";"Tour de poitrine";"tour_poitrine"
"Vêtements";"Tour de cou";"tour_cou"
"Vêtements";"Marque Fabricant";"marque_fabricant"
"Vêtements";"Couleur precise";"couleur_precise"
"Vêtements";"Sexe";"sexe"
"Vêtements";"Grille de taille";"grille_taille"
