"Categorie";"Champ spécifique";"Nom Web Service"
"Vêtements";"Saison";"saison"
"Vêtements";"Etat 2";"etat"
"Vêtements";"Entretien";"entretien"
"Vêtements";"Longueur produit";"longueur"
"Vêtements";"Manches";"manches"
"Vêtements";"Bonnet";"bonnet"
"Vêtements";"Categorie";"categorie"
"Vêtements";"Public";"public"
"Vêtements";"Type de bas";"type_bas"
"Vêtements";"Tour de poitrine";"tour_poitrine"
"Vêtements";"Tour de cou";"tour_cou"
"Vêtements";"Type de haut";"type_haut"
"Vêtements";"Sexe";"sexe"
"Vêtements";"Année";"annee"
"Vêtements";"Type";"type_1"
"Vêtements";"Grille de taille";"grille_taille"
"Vêtements";"Sport";"type_sport"
"Vêtements";"Couleur";"couleur"
"Vêtements";"Marque Fabricant";"marque_fabricant"
"Vêtements";"Garantie constructeur";"garantie_constructeur"
"Vêtements";"Taille";"taille"
"Vêtements";"Garantie Marchand";"garantie_marchand"
"Vêtements";"Couleur générique";"couleur_precise"
"Vêtements";"Code couleur";"couleur_code"
"Vêtements";"Taille générique";"taille_ligne"
"Vêtements";"Matière externe";"matiere_externe"
"Vêtements";"Matière interne";"matiere_interne"
"Vêtements";"Transparence";"transparence"
"Vêtements";"Composition matière";"matiere_composition"
"Vêtements";"Code matière";"matiere_code"
"Vêtements";"Longueur de jambe";"longueur_jambe"
"Vêtements";"Longueur de manche";"longueur_manche"
"Vêtements";"Style";"style"
"Vêtements";"Matiere";"matiere"
