"Appellation";"Contenance";"Couleur";"Date de fabrication";"Date de peremption";"Designation";"Famille de produit";"Garantie constructeur";"Garantie Marchand";"Millesime";"Nombre de bouteilles";"Pays";"Poids (g)";"Region";"Type"
"-";"-";"-";"";"";"";"Apéritif";"";"";"-";"-";"-";"";"-";"-"
"Anjou, Saumur";"0,05, Mignonnette";"Ambre";"";"";"";"Biscuit - Gâteau";"";"";"1960 et avant";"1";"Afrique du Sud";"";"Alsace";"Amaretto"
"Autre";"0,5";"Autre";"";"";"";"Boisson";"";"";"1961";"10 a 12";"Allemagne";"";"Aquitaine";"Amer, Bitter"
"Bandol";"0,75";"Blanc";"";"";"";"Café - Thé - Infusion";"";"";"1962";"2";"Angleterre";"";"Auvergne";"Anises"
"Barsac";"1";"Jaune, Ambre";"";"";"";"Charcuterie - Foie Gras - Confit";"";"";"1963";"3";"Argentine";"";"Basse-Normandie";"Armagnac"
"Beaucastel";"1,5";"Rose";"";"";"";"Chocolat - Confiserie";"";"";"1964";"4";"Australie";"";"Beaujolais-Maconnais";"Autre"
"Beaujolais";"1,5 L";"Rouge";"";"";"";"Confiture - Miel - Compote";"";"";"1965";"5";"Autre";"";"Bordeaux";"Bourbon americain"
"Bellet";"2";"";"";"";"";"Epice - Condiment - Huile";"";"";"1966";"6";"Bresil";"";"Bourgogne";"Cafe"
"Bergerac";"3 L";"";"";"";"";"Epicerie";"";"";"1967";"7 a 9";"Canada";"";"Bretagne";"Calvados"
"Bourgueil";"37,5 cl";"";"";"";"";"Plat Cuisiné - Légume - Viande";"";"";"1968";"Plus de 12";"Chili";"";"Centre";"Charcuterie"
"Brouilly";"50 cl";"";"";"";"";"Produit bébé";"";"";"1969";"Plus de 5";"Chine";"";"Champagne";"Chartreuse"
"Cahors";"75 cl";"";"";"";"";"Produit de la Mer";"";"";"1970";"";"Colombie";"";"Champagne-Ardenne";"Chocolat"
"Chablis";"Autre";"";"";"";"";"";"";"";"1971";"";"Danemark";"";"Corse";"Cognac"
"Chateau Grillet";"Moins de 0,5";"";"";"";"";"";"";"";"1972";"";"Ecosse";"";"Franche-Comte";"Cointreau"
"Chateauneuf du Pape";"Plus de 2";"";"";"";"";"";"";"";"1973";"";"Espagne";"";"Haute-Normandie";"Condiment"
"Chenas";"";"";"";"";"";"";"";"";"1974";"";"Etats-Unis";"";"Ile-de-France";"Confiserie"
"Chinon";"";"";"";"";"";"";"";"";"1975";"";"France";"";"Jura, Savoie";"Confiture"
"Chiroubles";"";"";"";"";"";"";"";"";"1976";"";"Grece";"";"Languedoc-Roussillon";"Creme de cassis"
"Condrieu";"";"";"";"";"";"";"";"";"1977";"";"Hongrie";"";"Limousin";"Eau de vie"
"Corbieres";"";"";"";"";"";"";"";"";"1978";"";"Irlande";"";"Lorraine";"Epice"
"Costieres de Nimes";"";"";"";"";"";"";"";"";"1979";"";"Italie";"";"Midi-Pyrenees";"Foie gras, Pate"
"Cote Rotie";"";"";"";"";"";"";"";"";"1980";"";"Japon";"";"Monaco";"Fromage"
"Coteaux d'Aix";"";"";"";"";"";"";"";"";"1981";"";"Liban";"";"Nord-Pas-de-Calais";"Fruit confit"
"Coteaux du Languedoc";"";"";"";"";"";"";"";"";"1982";"";"Madagascar";"";"Outre-Mer";"Gateaux"
"Cotes Chalonnaises";"";"";"";"";"";"";"";"";"1983";"";"Maroc";"";"Pays-de-la-Loire";"Gin"
"Cotes de Beaune";"";"";"";"";"";"";"";"";"1984";"";"Mexique";"";"Picardie";"Madere"
"Cotes de Nuits";"";"";"";"";"";"";"";"";"1985";"";"Moldavie";"";"Poitou-Charentes";"Mezcal"
"Cotes de Provence";"";"";"";"";"";"";"";"";"1986";"";"Nouvelle-Zelande";"";"Provence";"Miel"
"Cotes du Roussillon";"";"";"";"";"";"";"";"";"1987";"";"Pologne";"";"Provence-Alpes-Cote-d'Azur";"Muscat"
